,Seed,Metric,KernelMix,ExtraTrees,KNN
0,756959868,0.95,0.97625,0.925,0.975
1,23492680,0.9575,0.9725,0.9175,0.97375
2,2089132788,0.93,0.97375,0.9075,0.975
3,923432096,0.935,0.97625,0.90125,0.9725
4,3800808800,0.9525,0.9775,0.9075,0.97125
5,1792403408,0.9625,0.98375,0.92625,0.98375
6,133250116,0.92875,0.9825,0.9025,0.97875
7,3382592420,0.96125,0.98375,0.91625,0.97625
8,1234749128,0.93125,0.97875,0.91,0.98125
9,40807036,0.94375,0.98125,0.94,0.9625
10,2315173140,0.935,0.95625,0.89625,0.95
11,1057325148,0.95125,0.985,0.915,0.98
12,2456879652,0.9725,0.985,0.95625,0.9725
13,1052941060,0.92375,0.97875,0.91125,0.97125
14,3246920764,0.9075,0.97375,0.89625,0.97375
15,2027914572,0.9425,0.9875,0.92375,0.98125
16,4181172476,0.945,0.97375,0.90125,0.97125
17,2169701884,0.92125,0.97625,0.89625,0.9825
18,216683492,0.93625,0.98,0.92375,0.98
19,2340309896,0.92375,0.97375,0.87625,0.9725
