,Seed,Metric,KernelMix,ExtraTrees,KNN
0,372757640,0.95125,0.9775,0.905,0.97375
1,96106060,0.94375,0.9775,0.9175,0.9825
2,3158329476,0.9425,0.97125,0.92375,0.97
3,1928641396,0.91875,0.98,0.87875,0.98375
4,2849727812,0.92125,0.98125,0.8925,0.97625
5,124593232,0.9025,0.975,0.9025,0.965
6,3147794748,0.92125,0.97375,0.89375,0.96125
7,174361768,0.955,0.97625,0.93375,0.97625
8,3799073184,0.9325,0.97375,0.91375,0.97625
9,1303238204,0.92875,0.97,0.89375,0.96875
10,2616488420,0.955,0.9825,0.925,0.98125
11,2235593240,0.92875,0.98,0.88125,0.975
12,1543624560,0.9275,0.9775,0.90875,0.965
13,3328509276,0.93125,0.9725,0.9025,0.96375
14,752360296,0.9375,0.9725,0.93125,0.9775
15,1094818612,0.9675,0.9775,0.94125,0.97875
16,3255630528,0.9275,0.97625,0.92375,0.97375
17,1668712848,0.94375,0.97625,0.92125,0.9675
18,332588968,0.915,0.97375,0.9025,0.975
19,537393284,0.93625,0.975,0.91625,0.97125
