Metric,Accuracy,Accuracy,Accuracy,AUROC,AUROC,AUROC,F1,F1,F1
Model,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN,Metric,ExtraTrees,KNN
0,0.962432915921288,0.962432915921288,0.9516994633273703,0.9615150485574335,0.9897434808460036,0.9471955604632067,0.9462915601023018,0.9462915601023018,0.9302325581395349
1,0.960644007155635,0.964221824686941,0.9445438282647585,0.9528016081995526,0.9911520711231914,0.9294855460233868,0.9421052631578948,0.9479166666666666,0.9164420485175202
2,0.9570661896243292,0.964221824686941,0.9427549194991055,0.9451711543361929,0.9924049378521476,0.9281194258048077,0.9358288770053476,0.9473684210526315,0.9139784946236559
3,0.9570661896243292,0.9588550983899821,0.9588550983899821,0.951159457311535,0.990207765667575,0.9574889305177111,0.93717277486911,0.9405684754521964,0.9408740359897172
4,0.9607142857142857,0.9678571428571429,0.9625,0.9540596631418445,0.9938656802812328,0.9566503367169742,0.9424083769633508,0.9538461538461539,0.9451697127937336
5,0.9588550983899821,0.9588550983899821,0.9660107334525939,0.9502109346244231,0.9924332512245534,0.9568999688552904,0.9393139841688655,0.9396325459317585,0.9496021220159151
6,0.9570661896243292,0.964221824686941,0.9481216457960644,0.9512939211189444,0.9906565871060902,0.9420142133129477,0.9375,0.9487179487179487,0.9246753246753247
7,0.9463327370304114,0.9445438282647585,0.9499105545617174,0.9516690733033212,0.9895311305529602,0.9409312268184264,0.9257425742574258,0.9242053789731052,0.9263157894736842
8,0.962432915921288,0.964221824686941,0.9677996422182469,0.9602137261580381,0.9867875794732061,0.9692679950045415,0.9457364341085271,0.9489795918367347,0.9540816326530612
9,0.9553571428571429,0.9607142857142857,0.9517857142857142,0.942602815151558,0.9919103217517753,0.938649743756265,0.9329758713136729,0.9414893617021277,0.9276139410187667
