,Seed,Metric,KernelMix,ExtraTrees,KNN
0,846262744,0.88125,0.975,0.77875,0.975
1,1586690852,0.82125,0.97375,0.8025,0.9625
2,1692383360,0.9225,0.9675,0.85375,0.97875
3,4101193072,0.89625,0.96875,0.865,0.96375
4,1088166784,0.88625,0.97375,0.8275,0.96875
5,2279460592,0.89125,0.97,0.83875,0.97
6,1240218900,0.92125,0.96625,0.88375,0.96375
7,4147472504,0.81375,0.96625,0.795,0.975
8,2760139512,0.795,0.97625,0.74375,0.9825
9,1666506120,0.9375,0.97875,0.89625,0.975
10,284922228,0.835,0.955,0.82,0.9625
11,3104781232,0.83375,0.9675,0.79875,0.965
12,1952175440,0.855,0.96625,0.8225,0.97125
13,585709648,0.8375,0.97875,0.835,0.97625
14,2428255252,0.80375,0.965,0.80375,0.97375
15,587237060,0.865,0.96625,0.86125,0.97125
16,3287067964,0.855,0.97625,0.82625,0.97125
17,455721272,0.78125,0.9675,0.77375,0.9775
18,1013074280,0.8725,0.96375,0.83375,0.96
19,4193335784,0.835,0.96125,0.82375,0.95375
