MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
21177.760217295305,12285.151811628488,11193.674984247038,11686.916277525674,12526.087433733273,9905.98758040151,12617.443127635832,0.23528396539685992,0.5563906436992444,0.5958032077632527,0.5779925648043943,0.5476906049963723,0.6423008163476098,0.5443918064802512
22082.639879835846,12636.639676349045,11426.68027138067,11809.671204892542,12521.268930792761,9762.362812453304,12616.58258596441,0.20260931140932847,0.5436986307874768,0.5873895286305142,0.5735599590745719,0.5478645982054551,0.6474870193213524,0.5444228801163595
22082.639879835846,12636.609443136691,11426.752590238599,11809.822335348355,12521.461494681915,9762.362812453304,12616.58258596441,0.20260931140932847,0.5436997224903777,0.587386917240561,0.5735545018457766,0.5478576448405945,0.6474870193213524,0.5444228801163595
22082.639879835846,12636.610618274353,11426.751195627758,11809.818645671468,12521.457236245049,9762.362812453304,12616.58258596441,0.20260931140932847,0.5436996800568719,0.5873869675991099,0.5735546350777638,0.5478577986101585,0.6474870193213524,0.5444228801163595
21427.911920445,10497.15698220064,9026.260018278792,9228.164533229738,9808.710770056838,10679.435179046826,9149.44137606797,0.23568255227866042,0.62557433207896,0.6780401167760285,0.6708383350940961,0.6501306889331769,0.6190726063529084,0.6736463307019667
21004.015096187057,10388.392623669886,8934.90417051754,9218.616239412371,9824.42310054045,10615.649842631103,9066.995405178463,0.25080263210803855,0.6294538746692,0.6812987109243775,0.671178915528983,0.6495702419620686,0.6213477811675294,0.6765871162661006
21004.015096187057,10388.741779993472,8934.713834573258,9218.086183956124,9823.710763794967,10615.649842631103,9066.995405178463,0.25080263210803855,0.629441420526627,0.6813055000638738,0.6711978222071033,0.6495956504762181,0.6213477811675294,0.6765871162661006
21004.015096187057,10388.718797450829,8934.71868854809,9218.111589524162,9823.748456400468,10615.649842631103,9066.995405178463,0.25080263210803855,0.6294422402965794,0.6813053269262546,0.6711969160096636,0.6495943060094245,0.6213477811675294,0.6765871162661006
25956.037260144793,14044.54795093424,11626.163018621604,11081.133742070082,11012.048166586885,12536.15016722159,11661.936293382449,0.15387075990826193,0.5421680680277435,0.6210039159084606,0.6387710813264424,0.6410231710772402,0.591339652183565,0.6198377589375172
26209.17050964329,14706.310389064274,11970.782424376694,11171.820838534699,11012.456882417515,12709.069445125144,11614.34821110448,0.14561898241644167,0.5205955705280578,0.6097698221602537,0.6358148132625359,0.6410098475328285,0.5857027340460492,0.6213890615301171
26209.17050964329,14706.343904183075,11970.810209661366,11171.843702848697,11012.467494758246,12709.069445125144,11614.34821110448,0.14561898241644167,0.5205944779837023,0.609768916400196,0.6358140679189985,0.6410095015858834,0.5857027340460492,0.6213890615301171
26209.17050964329,14706.34223423093,11970.809489291056,11171.843963033703,11012.468798533828,12709.069445125144,11614.34821110448,0.14561898241644167,0.5205945324217247,0.6097689398832253,0.6358140594373439,0.6410094590846869,0.5857027340460492,0.6213890615301171
