MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
44397.160443524364,36089.01584623615,29855.572538861867,23200.555081671555,17282.30436703643,22113.55273873888,18469.153305019798,-0.11009025978832176,0.09764352999074566,0.2535022522903646,0.41990185947573266,0.5678796221900589,0.4470808659978186,0.5382040881528902
40324.808171594545,34098.03620371887,31247.182119544097,24486.321559904092,17283.601725145283,22124.19835463824,18490.120711091342,-0.008266662370493894,0.1474252522116234,0.21870695850330946,0.3877530276678087,0.5678471835253852,0.446814686935886,0.5376798268483265
39756.125030576295,33204.658355727035,30355.854230703688,24449.01229215363,17283.51616377944,22124.19835463824,18490.120711091342,0.005952481589247105,0.16976294312381413,0.24099339299134548,0.3886858948673295,0.5678493228702868,0.446814686935886,0.5376798268483265
39756.125030576295,33204.67185192392,30355.858618226932,24449.02853970148,17283.518139428892,22124.19835463824,18490.120711091342,0.005952481589247105,0.16976260566987422,0.24099328328732905,0.3886854886196227,0.567849273471875,0.446814686935886,0.5376798268483265
34799.585136558926,27654.837247797594,21897.031852700493,18243.043083687728,15499.742406240457,16572.608517016954,14949.649808001543,0.15849088153710267,0.33126220837671105,0.4704950677138434,0.5588543069352024,0.625191664857671,0.5992480620369643,0.638493775661592
34049.79255987977,28321.33634658179,21243.4533280527,17669.7737007439,15493.119127521757,16554.250130034517,14954.842294659515,0.17662205430124145,0.31514520391032774,0.48629963222127626,0.5727168691235094,0.6253518262335619,0.5996919969282961,0.6383682131052273
34049.79255987977,28321.319187512137,21243.48567532515,17669.795117423808,15493.142419972404,16554.250130034517,14954.842294659515,0.17662205430124145,0.3151456188438254,0.4862988500129649,0.5727163512342484,0.6253512629851917,0.5996919969282961,0.6383682131052273
34049.79255987977,28321.31837917241,21243.483241773833,17669.795563128988,15493.139420892261,16554.250130034517,14954.842294659515,0.17662205430124145,0.31514563839076104,0.4862989088600925,0.5727163404563909,0.6253513355077025,0.5996919969282961,0.6383682131052273
36560.96003827654,33167.767697569056,28640.482813377635,22032.277845165216,12636.26418309758,19439.0342739423,13458.381605841769,-0.07086932223566311,0.02851717030459011,0.16112119630462418,0.35467530342039455,0.6298842358850057,0.4306313226988856,0.6058044434952405
37126.01583385849,32110.146060021434,27063.373561792003,21073.93794271544,12631.888459978014,18467.17273808629,13461.26372481086,-0.08741978798400996,0.059494873433738715,0.20731467463694853,0.38274504777977036,0.6300124006718832,0.4590971152579285,0.6057200263250185
35521.07685717308,31773.726908077115,26703.384035832452,20737.2992318845,12631.860303481311,18467.17273808629,13461.26372481086,-0.04041117791487148,0.0693485793772518,0.21785875606349325,0.3926051845958827,0.6300132253747496,0.4590971152579285,0.6057200263250185
35521.07685717308,31773.719545983404,26703.37937410806,20737.30418714791,12631.851798568609,18467.17273808629,13461.26372481086,-0.04041117791487148,0.06934879501273539,0.21785889260524816,0.3926050394563796,0.6300134744833641,0.4590971152579285,0.6057200263250185
