MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
32752.564259220733,32751.820314728513,32748.66522153724,32736.136019569996,32533.036449249666,19004.08692099515,17611.39036614813,-0.024738472099429476,-0.024715196103808124,-0.024616481836718496,-0.024224477254148225,-0.01787004522473823,0.40541391382560843,0.44898759338293626
32752.564258885992,32751.820315822388,32748.665222152787,32736.13600732961,32533.036425102626,19004.08692099515,17611.39036614813,-0.024738472088956298,-0.024715196138032525,-0.024616481855977312,-0.0242244768711799,-0.017870044469243007,0.40541391382560843,0.44898759338293626
32752.564259090497,32751.82031461809,32748.66521902652,32736.136001044375,32533.036628843733,19004.08692099515,17611.39036614813,-0.024738472095354735,-0.02471519610035333,-0.024616481758164888,-0.02422447667453209,-0.017870050843747043,0.40541391382560843,0.44898759338293626
32752.564258856626,32751.820314877208,32748.665218926195,32736.136004684642,32533.036451247055,19004.08692099515,17611.39036614813,-0.024738472088037478,-0.024715196108460402,-0.024616481755026065,-0.024224476788426097,-0.017870045287230907,0.40541391382560843,0.44898759338293626
31290.856527492477,31428.90642774973,31432.961112570465,31423.69697438754,31259.41603982083,12821.146322072,11746.45240464196,0.0008348973174157059,-0.0035732480027568236,-0.0037027203159130107,-0.003406902156679381,0.0018388403723217372,0.5906011083414697,0.624917735545902
31290.8565128317,31428.906432844884,31432.961113004847,31423.69697930228,31259.41602825513,12821.146322072,11746.45240464196,0.0008348977855570094,-0.0035732481654529025,-0.003702720329783471,-0.0034069023136145127,0.0018388407416322083,0.5906011083414697,0.624917735545902
31290.85648312155,31428.906428738497,31432.961113465404,31423.696974104703,31259.41611312299,12821.146322072,11746.45240464196,0.00083489873424758,-0.00357324803432979,-0.0037027203444899293,-0.003406902147648161,0.001838838031671175,0.5906011083414697,0.624917735545902
31290.856498693265,31428.906428595892,31432.961112757475,31423.696982540936,31259.41603731148,12821.146322072,11746.45240464196,0.0008348982370188773,-0.0035732480297760993,-0.0037027203218846783,-0.003406902417029789,0.0018388404524490864,0.5906011083414697,0.624917735545902
28935.207063774404,28946.25653674704,28947.950597231356,28938.955473917824,28643.177133759684,9420.511846789963,11200.994316147338,-0.049627099826921706,-0.05002792039977355,-0.050089372588076886,-0.04976307372401978,-0.03903368925175554,0.6582701306806726,0.5936829775116887
28933.847995677825,28946.102211912286,28947.931421672387,28938.955471379988,28643.17742879457,9420.511846789963,11200.994316147338,-0.04957779951600516,-0.050022322253253204,-0.05008867699304265,-0.04976307363195942,-0.039033699954171164,0.6582701306806726,0.5936829775116887
28934.311539908227,28946.143310595104,28947.94593489675,28938.955478499047,28643.177216451328,9420.511846789963,11200.994316147338,-0.049594614622429756,-0.05002381311147164,-0.05008920346149215,-0.04976307389020396,-0.039033692251402075,0.6582701306806726,0.5936829775116887
28935.248875429566,28946.149422762952,28947.894573770638,28938.95547207894,28643.177179895923,9420.511846789963,11200.994316147338,-0.049628616548272664,-0.05002403483088069,-0.05008734033226947,-0.04976307365731403,-0.039033690925351694,0.6582701306806726,0.5936829775116887
