MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
28626.423064054106,26177.606169393963,19088.8363023172,7618.500090391761,164.81321516919067,407.60033914284026,514.0341717535354,-4.506165739315997,-4.035146651214589,-2.671653151217879,-0.46538476318983446,0.9682989077356774,0.9215998793247749,0.9011278028339824
26525.035196918812,24191.45959591791,16870.920674434943,5795.275214233807,157.29438006554764,366.4128225403202,621.8477521939677,-4.101973086495054,-3.653120151024072,-2.24504689951773,-0.11469553017925227,0.9697451223799104,0.9295221157947962,0.8803903379566633
28290.448637765185,26468.96185458453,19847.069629833237,8675.885981317688,163.42758111430365,279.0066418568425,773.8859886499378,-4.4415425458705915,-4.091187627349176,-2.8174959748579314,-0.6687682579710341,0.9685654283115515,0.9463343076780412,0.8511464562894814
29364.210806490766,27416.61524915742,20466.1335264229,8558.477585282566,152.56716694397656,265.3734017262591,412.93113959038027,-4.648075945184265,-4.273464562272837,-2.936570174600675,-0.6461852727929664,0.9706543808951709,0.948956601059052,0.9205745234596115
28696.108454080728,26497.20678694967,19478.29404100491,7852.46369461304,139.89124467383598,362.6732125753946,536.3555323301355,-5.064837498893354,-4.600106146607881,-3.116679733887697,-0.6595949360170286,0.9704343999179409,0.9233500910762489,0.8866428473944475
28503.88528444049,26177.57567641234,18471.2154014208,6420.297203676759,146.4219192271941,291.4652570694792,349.4176119966489,-5.024211701522406,-4.532553058421665,-2.9038366472560093,-0.3569107914826606,0.9690541612006369,0.9383996814924153,0.9261516229839281
29226.892953395527,27115.69090067459,20126.031881862375,8615.063537209555,266.38432603223896,528.8128322442147,584.6464290448857,-5.177017230177369,-4.730820931554803,-3.2535772073890534,-0.820768153264603,0.9437004619555648,0.8882369747095572,0.8764367094534977
29215.74493341841,26915.529392121338,19628.16942820612,7963.282932976624,138.45994549799016,576.300266861026,353.4037532463494,-5.1746611291853535,-4.688517389774865,-3.1483554529111872,-0.6830162537020295,0.9707369007580007,0.878200646102452,0.9253091638412274
27606.828817929145,25454.508998718393,18485.68720760548,6767.395318324066,161.35941493947993,403.0450497081716,450.65173813672226,-4.640936882516283,-4.201150758176217,-2.777202932497599,-0.38279010970321936,0.9670292346478339,0.9176453151787617,0.9079177826764894
28238.654423668864,26128.59118801723,18766.53995415829,6745.033442626383,170.71404193741728,396.5570673578134,477.7519427476757,-4.770038576384892,-4.338886791117228,-2.8345899155167005,-0.3782208804658729,0.9651177923448129,0.9189710124971542,0.902380364933877
27419.811863272946,25160.46460396163,18043.847641778644,7022.81240909845,177.62614363500646,351.1451100359401,416.6790063125048,-4.602723480892592,-4.141068309647998,-2.686921317051463,-0.4349797942655593,0.9637054342047751,0.9282500929251766,0.9148594722566633
28592.968564278992,26427.252948423404,19374.159978630883,7459.004874784505,179.97339482118775,403.91942918006896,352.1631274778852,-4.842436015328213,-4.399912711580004,-2.958745653548332,-0.5241075308770966,0.9632258175173248,0.9174666521586492,0.9280420801840832
