MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
31397.625028385875,31418.909809937897,31521.148968026388,29266.572694448943,163.77863625765502,407.60033914284026,514.0341717535354,-5.039194168281297,-5.043288201779241,-5.062953451196666,-4.629295686603819,0.9684979044089456,0.9215998793247749,0.9011278028339824
23594.967759620136,18612.392068701214,18352.431242605893,16839.111021325018,153.3398762544262,366.4128225403202,621.8477521939677,-3.538387587145749,-2.5800112122316157,-2.530008898250317,-2.2389284535721266,0.9705057536803027,0.9295221157947962,0.8803903379566633
32296.110950412214,31862.150393472188,31056.461704644153,28946.35113068941,146.47441918961815,279.0066418568425,773.8859886499378,-5.212013957538563,-5.12854356567399,-4.973572913383522,-4.5677024865236815,0.9718262939514503,0.9463343076780412,0.8511464562894814
30347.319653769053,27312.102892069815,25262.27349635523,24547.13257061613,152.56716694397656,265.3734017262591,412.93113959038027,-4.837172579464759,-4.253362073092009,-3.8590864639852933,-3.72153227304511,0.9706543808951709,0.948956601059052,0.9205745234596115
32710.489442211212,25959.29989158361,16644.94277543694,11277.900624918562,139.89124467383598,362.6732125753946,536.3555323301355,-5.9132650266404525,-4.486421118021175,-2.517859338765098,-1.3835508821082767,0.9704343999179409,0.9233500910762489,0.8866428473944475
26450.2869249425,28901.97783573354,30183.8183119789,29207.783241828623,146.4219192271941,291.4652570694792,349.4176119966489,-4.590189772790178,-5.108347382741191,-5.379260569467269,-5.172978449257321,0.9690541612006369,0.9383996814924153,0.9261516229839281
33426.86320135598,32979.436944313355,32128.72552357007,29826.62339670231,271.63237487458633,528.8128322442147,584.6464290448857,-6.064668498112439,-5.970106284352901,-5.790310946127274,-5.303768482446131,0.942591302382028,0.8882369747095572,0.8764367094534977
33502.7462561645,32890.76279259133,31827.764854215086,29434.226912725262,139.21461377719038,576.300266861026,353.4037532463494,-6.080706156914491,-5.951365265116553,-5.726703800366833,-5.220836648177867,0.9705774038531767,0.878200646102452,0.9253091638412274
31894.332613373306,22344.530360260847,13267.312778469664,8055.436421692421,162.30158428880063,403.0450497081716,450.65173813672226,-5.517007743575932,-3.565685043471615,-1.7109261435831602,-0.6459771136907551,0.9668367200396834,0.9176453151787617,0.9079177826764894
27303.4331380844,28402.057993708066,27396.737876576775,26536.521935221786,180.398097594469,396.5570673578134,477.7519427476757,-4.5789436745415655,-4.803427026432814,-4.598008745149507,-4.422239776445414,0.9631390374835256,0.9189710124971542,0.902380364933877
31736.31908347479,31240.277962607586,18136.457464077805,15859.827579000359,160.18232849710793,351.1451100359401,416.6790063125048,-5.484720646980389,-5.383363961922549,-2.705844394589125,-2.240657843418431,0.9672697501510985,0.9282500929251766,0.9148594722566633
32753.46180811281,32286.255444321734,31458.390229111883,29477.202133243023,182.8563514959767,403.91942918006896,352.1631274778852,-5.6925546560233755,-5.597089811921333,-5.42793110640581,-5.023112535069909,0.9626367394763529,0.9174666521586492,0.9280420801840832
