MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
28318.173423126194,26625.074845487903,23942.75939736993,17431.180862371828,12046.114001787359,444.4202432101498,610.2106351674432,-4.446875285589525,-4.121215269994257,-3.605283768897606,-2.352810466241317,-1.3170166967812165,0.9145177337892786,0.882628685895995
26658.055844391187,25150.961320648985,23782.710894596767,17503.421970024658,12061.874649099767,432.4472392292718,640.73125373819,-4.127559019117343,-3.8376760597978397,-3.574499147967966,-2.36670572346707,-1.3200481875150345,0.9168206880972161,0.8767581800370915
27692.413472237513,26205.25748524564,24241.107676306805,18483.391960333633,12064.007569251651,442.38607717085006,632.8811574180995,-4.32651312944764,-4.0404652593986725,-3.6626697394811574,-2.5551986125061004,-1.3204584452632249,0.9149089966211248,0.8782681113097237
27692.667642238728,26205.252280581255,23606.973330798413,17858.2876383496,12064.256063090057,444.1470741198202,632.8811574180995,-4.326562017922093,-4.040464258304521,-3.5406968056099224,-2.434962563681376,-1.3205062419528915,0.9145702766544087,0.8782681113097237
28373.92669823505,26614.624546049617,23781.65432552739,17019.201443898073,12433.735946233392,256.99137987134486,231.93913075272002,-4.996745339378453,-4.624922042099945,-4.026182179718775,-2.5969577994640853,-1.6278332526768464,0.9456856332965791,0.9509803519212101
28199.322744957968,26457.606958285887,23484.134710810453,16791.445183119235,12439.114229775514,350.6695470801127,231.93913075272002,-4.959843311182387,-4.591736840148986,-3.9633022906606836,-2.5488221885609703,-1.628969936968312,0.9258870302133605,0.9509803519212101
28489.757591008496,26664.155799825443,23658.122718401733,16966.36720002803,12439.487532883419,350.6695470801127,231.93913075272002,-5.021225855374092,-4.635390325830734,-4.000074140561023,-2.585791438563218,-1.6290488334741187,0.9258870302133605,0.9509803519212101
28489.757591008496,26664.155737983547,23611.71754160986,16920.553872040302,12439.51339400268,350.6695470801127,231.93913075272002,-5.021225855374092,-4.635390312760633,-3.9902665439386285,-2.5761089274320064,-1.6290542991450518,0.9258870302133605,0.9509803519212101
25911.664415039766,24237.818779723355,21363.87376773026,15425.396862671138,11162.410686706298,399.50530844670703,264.9582452415249,-4.2945618799670155,-3.952542967104299,-3.365306290143166,-2.151890087194002,-1.2808289411184437,0.9183685948125091,0.945860759750173
26453.674008319675,24974.31398996799,22357.06002458552,16442.440623731592,11158.485471223703,437.1597071773641,264.9582452415249,-4.405311358857712,-4.103031928464737,-3.568245245010181,-2.3597038748889174,-1.2800268970686317,0.91067462575907,0.945860759750173
25592.25640510939,24038.425486937285,21513.482499420166,15949.422054564067,11158.18039805383,436.3031878038202,264.9582452415249,-4.229296853126366,-3.911800693269761,-3.395876024106525,-2.2589647914931335,-1.279964561097081,0.9108496394035809,0.945860759750173
25591.358411046574,24038.425468637448,21477.838113901536,15960.5691698416,11158.15625719875,427.4826214607191,264.9582452415249,-4.2291133649081925,-3.9118006895305326,-3.3885927634954367,-2.261242495104707,-1.2799596283668246,0.9126519564439636,0.945860759750173
