MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
9558.548559419707,9031.790889925674,8211.755231609743,6588.169152462536,3.4370754312771625,136.95114274229525,243.00880865714046,-1.5287004327288956,-1.38934744011579,-1.1724081724909876,-0.7428907833821332,0.9990907265808858,0.963769769880608,0.9357123651369984
9959.200227835452,9442.667112596042,8602.233722493482,6799.294066208569,3.31982699008349,151.58355666725748,234.76510559915704,-1.6346922620321043,-1.4980441607115837,-1.275708702140541,-0.7987435791733237,0.9991217444893203,0.9598987855785555,0.9378932250615387
9758.989543307258,9182.77812170928,8688.072921475628,6505.960209639794,3.2993730241165258,158.70490661419782,234.76510559915704,-1.5817268100645592,-1.429290897637014,-1.2984173402001709,-0.7211425244286136,0.9991271555569391,0.9580148425739771,0.9378932250615387
9758.989424884492,9182.783264093121,8368.702533665712,6488.44703844402,3.3047195430877347,158.70490661419782,234.76510559915704,-1.5817267787359852,-1.4292922580473486,-1.2139283581297842,-0.7165094398859224,0.999125741142946,0.9580148425739771,0.9378932250615387
11014.30236769563,10524.997558925917,9611.548184444735,7463.85113234336,1.0631339847587868,110.0291462241748,221.5666022054195,-2.299909217779768,-2.153312420737146,-1.8796409788066617,-1.2361862176577247,0.9996814827195656,0.9670350257575545,0.9336181585940267
10382.67814883583,9911.146476081949,9151.453035568014,7375.696580944507,1.0250414588806696,95.9002941034374,218.8101153934288,-2.1106732124108256,-1.9694012860145298,-1.7417954601211512,-1.2097749201430026,0.9996928953241118,0.9712680609324935,0.9344440081064076
10521.84085531695,10075.37792566797,9335.526291459382,7629.466433397505,1.069102313620347,95.9002941034374,218.8101153934288,-2.1523666653920253,-2.018605389574257,-1.7969442124964452,-1.2858049261613917,0.99967969459511,0.9712680609324935,0.9344440081064076
10521.840931085502,10075.378655203363,9335.52711894441,8011.2689683650715,1.0203020695326783,95.9002941034374,218.8101153934288,-2.15236668809245,-2.0186056081446657,-1.7969444604127798,-1.400193805497628,0.9996943152555857,0.9712680609324935,0.9344440081064076
10655.827735637757,10074.350324980878,9140.032209132654,7173.412014424079,1.4868983490177259,93.36416471525108,189.29149767865593,-2.23925629979868,-2.062493460497,-1.7784708657383157,-1.180639611980741,0.9995479989951314,0.9716183044403149,0.942457433475278
10716.842104538291,10184.659588915836,9269.954107952799,7139.086056657898,1.5268214330835053,101.65347681316103,189.29149767865593,-2.2578040075641024,-2.096026282816606,-1.8179657167884553,-1.1702048923419412,0.9995358628096771,0.9690984432807402,0.942457433475278
10431.665959647706,9897.725262781714,9004.99657386207,7185.681277822295,1.542881266491213,98.01882189746439,189.29149767865593,-2.1711135460807887,-2.0088013532646816,-1.7374214941550412,-1.1843693352591722,0.9995309807941425,0.9702033390359418,0.942457433475278
10431.665697433296,9897.665884309194,9005.017851584726,7131.419923982741,1.5326361833309725,98.01882189746439,189.29149767865593,-2.1711134663704468,-2.00878330285171,-1.7374279623524322,-1.1678744709819897,0.999534095188537,0.9702033390359418,0.942457433475278
