MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
150057525.6342825,182722317.9930871,175822226.97510225,159785476.86180007,2722153.2313812966,4167720.3399880826,11522993.886792827,-0.5885420335878564,-0.9343387236308764,-0.8612928395852795,-0.6915242689691503,0.9711826860289887,0.9558795940668398,0.8780150474654744
150525694.94961274,140534124.3130402,151567860.3167041,158909602.5995828,2676880.3245995734,5262947.897423584,8774038.075888367,-0.593498177127439,-0.4877252085897552,-0.6045307693588273,-0.682252071018473,0.9716619549966827,0.9442852737954907,0.907116099449632
196812600.70528328,189701553.33455914,187998554.80194762,183030465.33357283,2394267.1471828725,5082948.125824613,16623469.020379808,-1.0835015614082457,-1.0082224469254397,-0.9901941291802501,-0.9376008392817297,0.9746537603704859,0.9461907910430432,0.8240202937420298
205948486.6404069,201741661.13837934,195129975.2474638,170726977.8307989,3089776.7951321835,9680043.297174776,14588741.396020522,-1.1802160631345915,-1.135681681338725,-1.065688917522289,-0.8073534093360095,0.9672909419722532,0.8975249285264809,0.8455603687534935
185009864.63626286,115963788.27968463,78138398.13853738,44755119.00925272,1704736.0711429494,8700487.7589762,7079286.206789403,-1.3263178325868674,-0.4581310523075879,0.017486179146021352,0.43724821562641636,0.9785646136764071,0.8905998884670124,0.9109849100359133
195653560.59323418,190812372.05760765,181729588.02968997,159414510.89558226,1556239.4043322993,5927258.985387674,5506708.550155401,-1.460151883857677,-1.3992786799153634,-1.2850715672556063,-1.0044813296772626,0.9804318138106297,0.9254705239465083,0.9307585337448315
151008278.35233113,125382563.35332783,100712996.38876747,77903477.47700499,2757666.11595943,6833931.647895504,11341832.791013775,-0.8987811892621325,-0.5765629232676521,-0.266367282269361,0.020440076362477022,0.9653250496967307,0.9140700032917974,0.8573875618587837
192559711.33425757,181949917.1448593,144285552.4076937,115759323.9061549,2506052.0228454904,14228949.046664571,7444656.715277391,-1.4212497598188154,-1.2878419900688125,-0.8142494953475852,-0.4555601130811522,0.968488850464284,0.8210849028439442,0.9063907337682424
152076266.39138442,122518461.3586654,103149380.16714285,94896666.58414948,2038757.7197317088,6396117.411167863,8973415.004155252,-0.7894261743282374,-0.44163022144025454,-0.21372128022782855,-0.11661459786993555,0.9760106786327024,0.9247392102580659,0.8944130858642987
164189934.66670433,155551775.12806296,160731405.3957421,147677312.49080363,1833898.1623239904,11401931.89033772,11148232.322042756,-0.9319633077899458,-0.8303212229120407,-0.8912680504102524,-0.7376652820065908,0.9784211866152119,0.8658376099925476,0.8688228006386305
190316193.4131031,184388655.28713107,181990193.12871796,163429307.7327392,2726677.53465828,8922220.810942268,8970099.067583745,-1.239381502275069,-1.1696343147379622,-1.1414124819283988,-0.923013287008706,0.9679161761052628,0.8950154693359784,0.8944521032851906
198169841.08518305,194299424.3527426,187200546.67930737,169861644.7253557,3060442.3154916777,13285294.06014216,11703205.862961005,-1.3317925210477397,-1.2862507335556495,-1.202720819134243,-0.99870025940626,0.9639888871925069,0.8436767716029839,0.8622926286154502
