MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
40737999.1460714,21338874.977217175,9716009.320134707,4679763.807878406,2722153.2313812966,4167720.3399880826,11522993.886792827,0.5687385638656974,0.7741019671789041,0.8971441842818232,0.9504589890799877,0.9711826860289887,0.9558795940668398,0.8780150474654744
39579977.57087548,22621166.231303696,12290865.051207948,11921903.70694939,2676880.3245995734,5262947.897423584,8774038.075888367,0.5809976354465769,0.7605273493927692,0.8698861941080871,0.8737921002040749,0.9716619549966827,0.9442852737954907,0.907116099449632
70103692.74092834,49714561.02075764,32440068.27280198,18999372.960451927,2585941.3769279416,5082948.125824613,16623469.020379808,0.25786686033925676,0.4737107017523725,0.6565822886524224,0.7988684510695734,0.9726246547363726,0.9461907910430432,0.8240202937420298
57775650.62776191,35239776.90810359,20663983.323795535,13830391.190135332,3244621.9238648284,9680043.297174776,14588741.396020522,0.3883742308015351,0.6269439560851191,0.7812465189436104,0.85358843114581,0.9656517173172524,0.8975249285264809,0.8455603687534935
52391302.725936644,29925410.007780865,15610158.796246529,9085082.14831091,1700701.0940979598,8700487.7589762,7079286.206789403,0.34123068495065256,0.6237172807761243,0.8037175431233557,0.8857639907272827,0.9786153495605303,0.8905998884670124,0.9109849100359133
35327579.20755866,20338180.510279786,7328620.399844576,7557632.433044837,1668258.1334102764,5927258.985387674,5506708.550155401,0.5557902944567614,0.7442673011168673,0.907849776778461,0.9049701747758426,0.9790232880136396,0.9254705239465083,0.9307585337448315
62316263.46891244,38043105.43777475,19223647.499567933,10195055.43623244,2655444.8607380595,6833931.647895504,11341832.791013775,0.21643402500226339,0.5216452119411404,0.7582814620532217,0.8718071638388163,0.9666103818564964,0.9140700032917974,0.8573875618587837
55178137.975134484,31806131.077976137,16458675.883735752,9559115.075940019,2420254.2938035466,14228949.046664571,7444656.715277391,0.3061889613677691,0.6000690554649019,0.7930482718617305,0.8798034909726075,0.9695676728690144,0.8210849028439442,0.9063907337682424
39233768.65688996,23323905.247262698,14791142.94455841,11042007.523880541,1981017.7726186567,6396117.411167863,8973415.004155252,0.5383504986143248,0.7255560809890577,0.8259579948845803,0.8700727092450464,0.9766900836123231,0.9247392102580659,0.8944130858642987
11629053.720334958,10803359.2531815,11917415.117763853,8174075.361763818,1905353.3119701315,11401931.89033772,11148232.322042756,0.8631651499367987,0.8728807967407507,0.8597721061406212,0.9038186250205023,0.9775803998303872,0.8658376099925476,0.8688228006386305
48034179.32651177,29990953.55756635,18453715.024709772,12179015.20776808,2720005.709312518,8922220.810942268,8970099.067583745,0.43479926362720056,0.6471073457915182,0.782861839901925,0.8566939529260003,0.967994681050101,0.8950154693359784,0.8944521032851906
51107175.847966425,30571206.112815205,20624952.530975744,17026492.277340606,3455161.709206021,13285294.06014216,11703205.862961005,0.39864043003933114,0.6402797247910728,0.7573136770189914,0.7996554514321179,0.9593443674959907,0.8436767716029839,0.8622926286154502
