MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
36704210.293955274,42680287.4593121,49295736.45001831,55259537.20377627,64055350.612547055,4167720.3399880826,11522993.886792827,0.6114411415546142,0.5481770717719985,0.47814447095192814,0.41501036196777286,0.32189594294502,0.9558795940668398,0.8780150474654744
39116490.16530475,42163601.27656117,46588355.16914273,51218010.16820394,58336173.18023333,5262947.897423584,8774038.075888367,0.5859042152577228,0.5536468255614504,0.5068054057996851,0.4577948577719714,0.3824404155422798,0.9442852737954907,0.907116099449632
49498048.68819246,52880203.57281239,56123606.626099855,58889754.758962005,65838941.26148762,5082948.125824613,16623469.020379808,0.4760027490163544,0.4401985121037887,0.4058631326535679,0.3765800789606034,0.30301445929679816,0.9461907910430432,0.8240202937420298
43422027.312417485,47186754.88853928,51019574.57150524,54660477.86447027,61306508.72340491,9680043.297174776,14588741.396020522,0.540324850234527,0.5004706145046098,0.4598955407266153,0.4213521361445659,0.35099578892829764,0.8975249285264809,0.8455603687534935
35546181.807678334,39670592.24862423,43785583.08065775,47329029.84891258,53910568.14858963,8700487.7589762,7079286.206789403,0.5530415808792013,0.5011811594009009,0.4494391802782659,0.404883807936256,0.3221274103652738,0.8905998884670124,0.9109849100359133
31858976.169437476,34602309.2551052,38071833.33703692,41414119.647488445,48215335.95624984,5927258.985387674,5506708.550155401,0.5994045802009862,0.5649098537145829,0.5212839867465933,0.47925801012691016,0.39373937676398885,0.9254705239465083,0.9307585337448315
39390877.25384153,43535004.08292559,47803445.84005253,51605871.59222009,57852718.5512717,6833931.647895504,11341832.791013775,0.5046983014824016,0.4525899657352582,0.39891849153313863,0.35110671213561384,0.2725587303463529,0.9140700032917974,0.8573875618587837
34442387.23496858,38924390.53998985,43137480.74702427,46552067.72840613,52118076.30735681,14228949.046664571,7444656.715277391,0.5669207164758662,0.5105639149902625,0.457588432314296,0.41465334557540956,0.3446662395418941,0.8210849028439442,0.9063907337682424
38258352.01786308,41743351.32474865,45657501.28086489,49308542.07962694,57905883.79851405,6396117.411167863,8973415.004155252,0.5498278718177012,0.5088211511423828,0.4627647706964402,0.4198043001123515,0.3186425036895779,0.9247392102580659,0.8944130858642987
32812925.79773757,36350456.59271376,41280957.85326333,46338965.95664726,54602364.632568225,11401931.89033772,11148232.322042756,0.6139022237194514,0.5722773841094937,0.5142619671247062,0.4547462234460312,0.3575138134817636,0.8658376099925476,0.8688228006386305
40372133.87391615,43963305.27970928,47849464.67844077,51286596.77375554,59994653.063560486,8922220.810942268,8970099.067583745,0.5249557686960546,0.48269975950730315,0.43697273378058676,0.3965292491927225,0.2940647146387403,0.8950154693359784,0.8944521032851906
38109542.67934877,42378964.86793096,46980951.862575166,51232988.22642562,59188634.303083144,13285294.06014216,11703205.862961005,0.5515788572386391,0.5013421175106603,0.4471922085370862,0.3971600414921138,0.30354884455080566,0.8436767716029839,0.8622926286154502
