MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
256392.32819131232,385516.68371085095,865747.277280934,7531551.105387883,64055350.612547055,4167720.3399880826,11522993.886792827,0.9972857743142187,0.9959188354323752,0.9908350085434782,0.9202693403183081,0.32189594294502,0.9558795940668398,0.8780150474654744
5333225.01923111,268679.6196934989,1076593.1410629898,9258376.338448355,58336173.18023333,5262947.897423584,8774038.075888367,0.9435413046975134,0.9971556983387042,0.9886029477667182,0.901988787871627,0.3824404155422798,0.9442852737954907,0.907116099449632
3390601.617327703,3010626.477878472,4879131.953685719,16848542.794496972,65838941.26148762,5082948.125824613,16623469.020379808,0.964106344113637,0.9681288446725534,0.9483484339549801,0.8216376131711483,0.30301445929679816,0.9461907910430432,0.8240202937420298
8842561.530855574,8571870.423345841,8301270.023462529,13206061.02427759,61306508.72340491,9680043.297174776,14588741.396020522,0.9063906950552708,0.909256290769848,0.9121209262335033,0.8601977278612511,0.35099578892829764,0.8975249285264809,0.8455603687534935
3707920.819449271,3593394.409329765,3914310.3017518963,10686934.457227297,53910568.14858963,8700487.7589762,7079286.206789403,0.9533765275648213,0.9548165849946614,0.9507813819811902,0.8656222669401272,0.3221274103652738,0.8905998884670124,0.9109849100359133
1331663.6299443678,1696832.075444688,2829956.3107647095,9212278.254326088,48215335.95624984,5927258.985387674,5506708.550155401,0.9832556342039518,0.9786639986804322,0.9644160713045389,0.8841646242813883,0.39373937676398885,0.9254705239465083,0.9307585337448315
3898962.3259312557,4218032.7981438795,3075010.628366743,11650299.58491314,57852718.5512717,6833931.647895504,11341832.791013775,0.9509743677439542,0.9469623690820479,0.9613347532888168,0.8535088940654756,0.2725587303463529,0.9140700032917974,0.8573875618587837
5318044.590644776,5375468.1124803135,5619205.075023749,12228971.725226572,52118076.30735681,14228949.046664571,7444656.715277391,0.9331307982413161,0.9324087536999691,0.9293440001337735,0.8462326587043018,0.3446662395418941,0.8210849028439442,0.9063907337682424
468514.93955242576,831391.6314679462,2131297.1865303055,10648663.520459006,57905883.79851405,6396117.411167863,8973415.004155252,0.9944871549269807,0.9902173167334513,0.974921800348292,0.8747010452236934,0.3186425036895779,0.9247392102580659,0.8944130858642987
7072490.11634711,6056767.535204091,3306193.21490435,7815145.69394172,54602364.632568225,11401931.89033772,11148232.322042756,0.9167805783757309,0.9287322169560461,0.961097225645254,0.9080420200155558,0.3575138134817636,0.8658376099925476,0.8688228006386305
4977509.32646618,4713890.627264577,4442634.8103466155,10470218.614311013,59994653.063560486,8922220.810942268,8970099.067583745,0.941431456182527,0.944533361638173,0.9477251302832723,0.8768007416017922,0.2940647146387403,0.8950154693359784,0.8944521032851906
16775983.932888784,14520352.326780882,11868228.783117075,14826832.586468985,59188634.303083144,13285294.06014216,11703205.862961005,0.8026030921066731,0.8291442897004101,0.8603508638700469,0.8255380478349675,0.30354884455080566,0.8436767716029839,0.8622926286154502
