MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
49373150.65160188,52936234.63156541,56718135.077624224,60728715.6161415,64934084.518493965,12375639.836123705,22432403.746966824,0.4808431434354875,0.4433774469121643,0.4036109033251364,0.3614397970072962,0.3172204982340544,0.8698706039516624,0.7641241026597633
52171404.5048277,55442163.46546187,58584047.88133394,61697098.62946035,64819453.57931002,15663160.981367601,22326939.646007463,0.4514196074622344,0.4170276977264121,0.3839908990715495,0.35125728536868006,0.31842583832814153,0.8353024404634202,0.7652330537882991
51695338.7982801,55132644.24023332,58402094.08323546,61607464.60891973,64811677.81057855,16226995.05532545,22326939.646007463,0.4564254207933186,0.42028228095424447,0.38590413654199873,0.35219978378595684,0.3185076002493219,0.829373745988857,0.7652330537882991
51695338.7982801,55132635.01305677,58401994.46593683,61607189.37372938,64811139.22413732,16226995.05532545,22326939.646007463,0.4564254207933186,0.4202823779776652,0.3859051840142166,0.35220267787382353,0.3185132634658703,0.829373745988857,0.7652330537882991
38550964.28961259,40771361.53492957,43359317.59395624,46323196.20706459,49638948.75328954,26257569.693875693,27376065.843074273,0.532520414752552,0.5055952676789924,0.47421300143984724,0.43827219502134196,0.398064468608904,0.6815934953563175,0.6680303037328823
40142727.20875998,42316327.8617532,44672457.244150616,47156808.51339235,49703666.984919496,27578015.274290003,27707159.664696064,0.5132182602418336,0.4868605815046342,0.458289509243045,0.428163583151307,0.39727967755016325,0.6655814094422894,0.6640153690804838
40142727.20875998,42317376.08851625,44674659.121596806,47160331.843092635,49708732.104562424,27578015.274290003,27707159.664696064,0.5132182602418336,0.48684787041889455,0.4582628086721442,0.4281208582872905,0.3972182565176797,0.6655814094422894,0.6640153690804838
40142727.20875998,42317458.60563025,44674831.87115634,47160607.72230005,49709128.25787547,27578015.274290003,27707159.664696064,0.5132182602418336,0.48684686979369773,0.4582607138635205,0.4281175129002207,0.3972134526537585,0.6655814094422894,0.6640153690804838
46356179.407508135,48607888.16859242,50719900.86184437,52732634.20794498,54660918.93484361,23425535.88808059,26774024.032559156,0.42870192886157443,0.40095165072358363,0.3749230005350549,0.3501178786928302,0.3263535098608198,0.7113014135483992,0.6700343194388132
45559489.31202915,48045747.09489623,50397905.293655194,52591898.50251938,54598818.72741067,23493955.966550365,26922215.760675307,0.43852041521354745,0.4078795320808274,0.37889130528693027,0.35185231923727533,0.3271188388671612,0.7104581978357041,0.6682079901443476
45609799.55864615,48083866.64208265,50421510.869725294,52600358.2622524,54593817.250807524,23493955.966550365,26922215.760675307,0.43790038683290533,0.40740974306761235,0.37860038786773553,0.3517480603341573,0.32718047755207313,0.7104581978357041,0.6682079901443476
45609799.55864615,48083782.256039396,50421334.07642487,52600076.33686338,54593410.81098026,23493955.966550365,26922215.760675307,0.43790038683290533,0.40741078304943046,0.37860256668559356,0.35175153481011734,0.3271854865561006,0.7104581978357041,0.6682079901443476
