MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
17258439.304559913,16283604.605936065,14455853.732451282,10639923.706759242,15666406.511532485,16070278.21291095,25140793.6116002,0.8185281477824009,0.8287784986538447,0.8479972316198077,0.8881215949805272,0.8352683138335404,0.8310216178018743,0.7356454832093631
17805240.800345704,16807354.066283435,14692911.291076837,11168088.220562732,15563313.512637952,17297482.790848106,24971196.80674597,0.8127785502385845,0.8232712924117314,0.8455045801414903,0.882567964614298,0.8363523329113902,0.8181176069653133,0.7374287873519891
18355622.43282021,17151310.81308331,14824630.098724524,11183783.631345293,15556545.00077047,17297482.790848106,24971196.80674597,0.8069913076896418,0.8196545999157869,0.8441195617412806,0.8824029279492923,0.8364235035638272,0.8181176069653133,0.7374287873519891
18355105.591526166,17151000.777588043,14824756.857418172,11186311.25359303,15556072.347306607,17297482.790848106,24971196.80674597,0.8069967422567702,0.8196578599275752,0.8441182288782959,0.8823763500946609,0.8364284734975524,0.8181176069653133,0.7374287873519891
14263458.133013314,13510554.369409205,11217394.615807414,5849092.439496559,12011689.750772996,15240354.127040751,21479723.572770197,0.8270373876481207,0.8361673055535913,0.8639747907948555,0.9290722979807124,0.8543429497475532,0.8151912784123814,0.739530970182916
17082860.052438427,14288273.65145335,10856923.374854203,6100466.410718931,12053439.276545962,14099939.056415843,21479723.572770197,0.7928485453136673,0.8267364678531994,0.8683459641058133,0.9260240681381012,0.8538366835269211,0.8290202648994799,0.739530970182916
17082860.052438427,14287902.173289714,10856332.768166581,6099739.750227299,12056723.05115718,14099939.056415843,21479723.572770197,0.7928485453136673,0.8267409724994791,0.8683531259647826,0.9260328798228802,0.8537968635737349,0.8290202648994799,0.739530970182916
17082860.052438427,14287876.01745499,10856291.110077528,6099688.543982241,12056980.016873443,14099939.056415843,21479723.572770197,0.7928485453136673,0.8267412896723175,0.8683536311222164,0.9260335007638771,0.8537937475368556,0.8290202648994799,0.739530970182916
7136576.2502722,6847992.352827362,5750971.498589637,2673228.6029332033,8920077.633150514,8870930.677544853,17074159.429689206,0.9120481390307923,0.9156046750973763,0.929124466979171,0.9670548702656792,0.8900680942355979,0.8906737861044859,0.7895763957865881
7781596.989633213,7432373.101214635,6109570.2421297645,3111445.9267735262,8892087.049181225,10543436.286836004,17074159.429689206,0.9040988405995772,0.9084027098226021,0.9247050611283092,0.9616542372745818,0.8904130529193393,0.8700616640364305,0.7895763957865881
7183483.682361773,6586636.245907813,4574092.3374793995,2511037.031368927,8889866.461032016,10543436.286836004,17074159.429689206,0.9114700472678958,0.9188256532209359,0.9436284404148331,0.9690537349946946,0.8904404196640247,0.8700616640364305,0.7895763957865881
7183483.682361773,6586647.905635092,4574114.6840928495,2511069.4613482296,8889686.005679462,10543436.286836004,17074159.429689206,0.9114700472678958,0.918825509525321,0.9436281650129918,0.9690533353244704,0.8904426436133699,0.8700616640364305,0.7895763957865881
