MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
276142.1455835885,346637.00975658325,423698.0289425213,504474.6806567846,696626.7801982568,47415.78479205743,122149.15449054986,0.7338221494918538,0.6658710173755448,0.5915906629532568,0.5137287506431729,0.3285102548627298,0.9542951632774712,0.8822584675911407
292328.2677586007,352036.30394971,414961.51301378367,478803.51457596064,636980.6088608238,53968.454505297486,94232.33154915561,0.7182200862881303,0.6606665509600677,0.6000119310140485,0.5384736000503163,0.38600415766443985,0.9479789396685252,0.9091679417239383
354026.74577525025,413396.0505720773,475381.3980426815,538582.269901879,719008.2993005362,58978.4219290434,181117.72916570716,0.658747932106853,0.6015209054116509,0.5417722331549863,0.48085189741206824,0.3069363490282493,0.9431497515808095,0.8254177110981726
290559.8372532765,347008.4318978874,411008.22555567155,479792.98533447104,669903.5051289446,108995.98880380634,153923.3151421598,0.7199247048630509,0.6655129976064345,0.6038225683067271,0.5375198332897795,0.3542692490266043,0.8949370153096566,0.8516308436691489
240579.055317006,296813.4543610088,358336.3100265065,423381.57170960365,587649.6870535843,87917.7514622192,74354.74049564467,0.7251671077023576,0.660926010257203,0.5906434815363251,0.5163370238313224,0.32868028375151537,0.8995644492542033,0.9150585724948844
233123.71696140565,281384.18095874006,332307.12961258675,383545.50725440326,525414.8032784152,71606.05556338244,59105.52059158727,0.7336839430545761,0.6785521158614876,0.6203787173317623,0.5618449787842245,0.39977621970986177,0.9181986173709987,0.9324789884408715
286110.85836864985,343504.96948081494,407041.0843326749,474245.1717534939,632015.4846945677,77282.32795548979,120973.36399133941,0.6731524503676993,0.6075865201289934,0.5350040827797287,0.4582314240137779,0.27799764860400966,0.9117141528072132,0.8618023523581229
235365.09789409034,286354.01666424266,343610.3849194786,405774.54990128544,570892.0873279935,125610.99504204001,77950.45554216632,0.7311234325244353,0.6728746710008467,0.6074660955564445,0.536450947389429,0.3478238438360859,0.8565044117148947,0.9109508966840723
249955.57679566235,308699.5635662542,372906.78647124395,440709.88423321216,626960.3196534183,58131.81424239966,94339.98107335356,0.7314663940627328,0.6683562414633615,0.5993767959357672,0.5265342109886714,0.32644065167728753,0.9375475198501038,0.8986481693009348
284330.9474330678,335941.62548007065,390650.5393287249,446509.86555162154,593152.5332630518,118533.31627254352,118403.55781679932,0.6945360628773687,0.6390894044811095,0.5803142329045201,0.5203031441816504,0.3627612127327571,0.8726566566330717,0.8727960594280344
275082.46035100357,334656.3582573235,399156.2801109109,466423.1076179548,651004.0655795106,94195.7079950913,95364.78379056015,0.7044719467550116,0.6404701996061545,0.5711763001858783,0.49890984395396387,0.3006098465536584,0.8988031655224318,0.8975471977901021
268229.4856714527,329511.4047009334,397983.8248973063,470733.3941472766,643810.6185202416,130181.71500116287,123099.15574046364,0.7118342709955344,0.6459975535007494,0.5724358985126905,0.49427919398335796,0.30833794889371335,0.86014248689903,0.8677514596689984
