MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
753945.604997638,674709.0774609311,623415.413967167,596789.7071654265,616622.7407534138,174529.88940680923,171108.81125005585,0.2732597187791894,0.34963708065155863,0.3990798669549822,0.424744813498255,0.40562743379386534,0.831767835679155,0.8350654678760098
756972.6676818564,679124.5321211588,629637.5060761332,600178.2773258178,613916.5596540376,128715.0186883887,164616.33616064684,0.27034188442639306,0.3453809529677826,0.3930822924097125,0.421478516281353,0.40823596523188765,0.875929525606513,0.8413236689199843
818199.2535978495,721053.4719234501,635253.2145196408,602921.6947836449,613726.1188445231,127536.58864992442,164616.33616064684,0.2113245946221528,0.3049649742801649,0.3876692208214756,0.41883409211919664,0.40841953418771826,0.8770654332527354,0.8413236689199842
818199.2535978495,721059.5107813473,635260.5875585576,602924.8949680529,613709.9983145747,127536.58864992442,164616.33616064684,0.2113245946221528,0.30495915332802015,0.3876621138308116,0.4188310074100331,0.40843507302552085,0.8770654332527354,0.8413236689199842
613825.7021491296,580669.2864605413,550242.2058355296,536129.1722955939,550821.415777238,97177.59797431916,88153.19739990616,0.29877730683585646,0.33665455932531496,0.37141387185701724,0.3875363303219208,0.37075219354375977,0.8889861784408971,0.899295480336901
607915.7948700635,573602.7143844713,542398.332518836,529131.0483508107,550793.8533574176,97552.72694682241,87229.4658897126,0.30552867140737494,0.3447272755463383,0.38037456208669085,0.39553085271235855,0.3707836803228062,0.8885576383073354,0.9003507334732077
744143.2032591354,662284.048426346,615047.5061926469,574101.235635879,550794.589278507,97562.83525537119,87229.4658897126,0.14990509641059435,0.24341942272670447,0.2973815413621814,0.34415777444319506,0.37078283962068737,0.8885460907697867,0.9003507334732077
744143.2032591354,662284.309059703,615047.955720973,574101.7111646081,550794.786467783,97562.83525537119,87229.4658897126,0.14990509641059435,0.24341912498416318,0.29738102782965525,0.34415723120830766,0.3707826143554458,0.8885460907697867,0.9003507334732077
696364.4893348729,632167.4746225635,552493.2086212107,548426.1925071994,547632.0264757322,144726.98437422284,119824.8802976552,0.25187799462211424,0.3208464732298034,0.40644255483769165,0.4108118532406364,0.4116650459194183,0.8445161356723487,0.8712690966937884
696644.4637155643,636721.2602951169,587833.7342346929,552059.0809483551,547879.6635008403,147263.357968559,119824.8802976552,0.25157721105496633,0.31595422596333844,0.3684753332202886,0.40690894919033427,0.4113990031922732,0.841791245289735,0.8712690966937884
694528.573473715,634541.0287193637,586180.7938077045,551176.4400556679,547900.697118742,155190.90274622553,119824.8802976552,0.25385036552383333,0.3182965039565754,0.37025112897947476,0.4078571926530308,0.4113764062439135,0.8332744831807775,0.8712690966937884
694528.573473715,634541.3782564568,586181.1689627806,551177.0882648317,547902.3653161763,155190.90274622553,119824.8802976552,0.25385036552383333,0.31829612844002464,0.37025072594087616,0.4078564962655111,0.411374614057165,0.8332744831807775,0.8712690966937884
