MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1502479.973175145,1285447.9143195085,912724.3219370585,862383.0867247317,1265199.8107395195,151494.14730593766,229292.6470754157,-0.4482645843361095,-0.23906389606209144,0.12021036265117624,0.1687350880328221,-0.2195464237240765,0.8539723575724419,0.778981133767636
1465887.3095109228,1228908.6176648848,965888.939809385,738103.996455732,1266257.5873891178,144694.37120246957,230240.2488339268,-0.4129923279482779,-0.1845647596808444,0.0689641333643134,0.28852969975715514,-0.2205660316304059,0.860526771000833,0.7780677252088477
1454892.7485860842,1224310.8420108007,864067.687223038,738367.4796812839,1266421.8042270953,160713.24543770723,227953.8679157052,-0.40239449403897165,-0.18013288986200027,0.16711127454844255,0.28827572404303814,-0.22072432287876897,0.8450859207731911,0.7802716045079272
1454884.2430141303,1224326.0877129997,930713.7766485624,832980.7565524009,1266441.6634619653,161276.9360599636,227953.8679157052,-0.40238629538151827,-0.18014758543928067,0.10287003824396868,0.1970764664510355,-0.2207434655143099,0.8445425703263887,0.7802716045079272
1305155.763656412,989682.1668085039,666331.4748981349,513473.9700293492,1093789.5140728129,68923.33497424898,32174.550139699575,-0.4909848779312007,-0.13059389979303804,0.2387957204591149,0.4134171982811692,-0.24952413385012795,0.9212633058484161,0.9632444118561468
1207649.7691381157,917538.8191901468,683404.7038173351,497531.4410180641,1094259.9000946868,76263.84642100554,32174.550139699575,-0.3795959024673541,-0.04817872503952003,0.21929159164565448,0.4316296372357453,-0.2500614938074095,0.9128776465515261,0.9632444118561468
1223284.7493472623,927089.9792462512,530229.0525849066,498881.39704143925,1094292.9599915133,76263.84642100554,32174.550139699575,-0.3974570035770666,-0.059089786850607506,0.39427651376330086,0.4300874734015331,-0.25009926079860456,0.9128776465515261,0.9632444118561468
1223284.7493472623,925601.9364091422,591780.1650428261,498882.73317693576,1094295.2774032324,76263.84642100554,32174.550139699575,-0.3974570035770666,-0.05738987529244399,0.32396170502545274,0.43008594702600333,-0.2501019081652449,0.9128776465515261,0.9632444118561468
1234751.5658888014,968486.3020834222,564724.2750138197,381120.11793838284,865491.308618889,120134.28441482186,58843.65795873324,-0.3265248756416661,-0.040469359929175885,0.39330241047695813,0.5905530059491495,0.070180769758174,0.870936696015477,0.9367827681191707
1268069.884116105,996322.2692992965,583841.785980284,463857.5658451737,865391.6212731913,137065.7219729171,58843.65795873324,-0.3623195886544406,-0.07037424441727436,0.3727639843206708,0.5016660704493254,0.0702878663981037,0.8527468238811423,0.9367827681191707
1260886.6625357417,994710.3164365852,586577.3799199165,464652.1453120046,865384.3775194989,137065.7219729171,58843.65795873324,-0.35460247180532045,-0.0686424826363452,0.36982506647612035,0.5008124336064625,0.07029564854613368,0.8527468238811423,0.9367827681191707
1260887.5026079237,994498.3737853767,586572.9864048249,464645.96634355915,865383.7911169709,135792.56769264475,58843.65795873324,-0.3546033743161392,-0.06841478727899197,0.36982978654064314,0.5008190718287375,0.07029627853321929,0.8541146057653428,0.9367827681191707
