MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1862216.2218835084,1856040.2256778732,1721310.473524456,1475443.4705984222,46113.37340298947,174529.88940680923,171108.81125005585,-0.7950201338328857,-0.7890669918693936,-0.6591988192588625,-0.42220366514566443,0.9555505785393712,0.831767835679155,0.8350654678760098
1607953.6440530736,1573293.4544034612,1530920.2911127848,1347484.658451283,43572.78766978203,128715.0186883887,164616.33616064684,-0.5499323501896649,-0.5165228365508066,-0.4756786637060322,-0.2988621103861746,0.95799948994356,0.875929525606513,0.8413236689199843
1731016.4123001378,1738397.6248977543,1692206.158998561,1389711.6225391382,43126.47886866663,127536.58864992442,164616.33616064684,-0.6685545295761515,-0.6756693989823588,-0.6311447029100392,-0.33956535947057653,0.9584296941671591,0.8770654332527354,0.8413236689199842
1731016.2508090308,1738397.7899185347,1692204.0167142383,1389710.0436683448,42954.07472069988,127536.58864992442,164616.33616064684,-0.6685543739122788,-0.6756695580485403,-0.6311426379277634,-0.3395638375716534,0.9585958772951546,0.8770654332527354,0.8413236689199842
1555197.6632650688,1531487.426366094,1481035.6663149395,1211395.7732014311,21435.3196372094,97177.59797431916,88153.19739990616,-0.7766279418067876,-0.7495418225458195,-0.6919067008262882,-0.383875265564541,0.9755127025274246,0.8889861784408971,0.899295480336901
1789576.1767676473,1707338.0052476004,1436530.5305237437,1157563.2411308335,21342.76914016352,97552.72694682241,87229.4658897126,-1.0443774542215634,-0.9504301465212224,-0.6410648884520709,-0.3223780148201947,0.9756184304377499,0.8885576383073354,0.9003507334732077
1803689.0738910309,1718500.6937794443,1550452.6026821986,1145962.1001244946,21339.057427103977,97562.83525537119,87229.4658897126,-1.0604997568468177,-0.9631821875124131,-0.7712072757292716,-0.30912509414294087,0.9756226706274629,0.8885460907697867,0.9003507334732077
1803689.4404351094,1718500.2486937898,1550453.1287743903,1145962.6532732672,21337.951380819675,97562.83525537119,87229.4658897126,-1.0605001755797332,-0.9631816790551095,-0.7712078767268873,-0.30912572604947486,0.9756239341534957,0.8885460907697867,0.9003507334732077
1929537.0905363315,1830081.4360569164,1665864.8101234823,1291824.418530138,16235.381902943865,144726.98437422284,119824.8802976552,-1.0729505592708022,-0.9661028310841202,-0.7896807512806914,-0.38783968652677525,0.982557918082659,0.8445161356723487,0.8712690966937884
1943883.5943537098,1861526.4137942516,1711350.8439438194,1338640.2394748277,16294.372458876467,147263.357968559,119824.8802976552,-1.0883633716275467,-0.9998849669687164,-0.8385475492859422,-0.438135108514772,0.9824945430345648,0.841791245289735,0.8712690966937884
1943922.5548843176,1861663.505710326,1711760.9129215986,1339054.488857906,16353.337376654048,155190.90274622553,119824.8802976552,-1.088405227912201,-1.0000322482858217,-0.8389880967732106,-0.4385801471173165,0.9824311955301899,0.8332744831807775,0.8712690966937884
1943922.5629609548,1861663.5496259339,1711760.8706164884,1339054.2384965098,16345.51453800012,155190.90274622553,119824.8802976552,-1.088405236589137,-1.0000322954654712,-0.8389880513237595,-0.43857987814772836,0.9824395998038585,0.8332744831807775,0.8712690966937884
