MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1308222.5139771597,1023230.1044874882,596157.589100253,488726.97119029495,1028156.8567557049,47415.78479205743,122149.15449054986,-0.26101669855895704,0.01369206351277008,0.42535412225661084,0.528908220793803,0.00894308785036757,0.9542951632774712,0.8822584675911407
1236163.1307836522,932789.4070998844,525757.2235614669,495255.23957540846,917871.5971810984,53968.454505297486,94232.33154915561,-0.1915575014238904,0.1008693047057595,0.493214165621232,0.5226155180170593,0.11524882134955106,0.9479789396685252,0.9091679417239383
1544640.519283128,1307434.1157845538,1016127.1595172526,857007.6779597425,1059162.7459315406,58978.4219290434,181117.72916570716,-0.4889038120626701,-0.26025674887504,0.02053870628241805,0.1739165309003846,-0.02094398685340848,0.9431497515808095,0.8254177110981726
1476559.5650943366,1216974.8026987829,875603.3939163976,629218.9697795451,1013534.8925829721,108995.98880380634,153923.3151421598,-0.42327948656096703,-0.1730615637115156,0.15599182153904534,0.39348572627001666,0.02303743402660896,0.8949370153096566,0.8516308436691489
1377415.1437645853,1122167.5778704283,728820.71251954,521408.44414653204,902191.3644089384,87917.7514622192,74354.74049564467,-0.573532605972596,-0.2819426889110779,0.16740921555187993,0.40435300743707125,-0.0306460874565484,0.8995644492542033,0.9150585724948844
1225613.5520688936,943825.3817635954,531013.4688879806,385207.3677278617,800847.1878148564,71606.05556338244,59105.52059158727,-0.4001173830799005,-0.07820798927079076,0.3933804116439572,0.5599465012965898,0.08512755349558532,0.9181986173709987,0.9324789884408715
1419760.202360807,1166593.6078701012,818414.1402096511,712310.6288586208,964207.389207626,77282.32795548979,120973.36399133941,-0.6219067876451356,-0.3326941323483439,0.06505940446592562,0.18627001803789645,-0.10149200312350892,0.9117141528072132,0.8618023523581229
1351019.473184491,1079972.038372805,662284.0661332827,427087.86245082004,888185.4687969743,125610.99504204001,77950.45554216632,-0.5433786988500326,-0.23373931498515388,0.24341940249864003,0.5121030284705781,-0.014646021302897383,0.8565044117148947,0.9109508966840723
1256568.154671025,955787.2414228172,514121.6237854656,312365.1860974277,870894.2297145356,58131.81424239966,94339.98107335356,-0.34996298944590554,-0.026826437475014675,0.44766612013503215,0.664418170351207,0.06437627480347807,0.9375475198501038,0.8986481693009348
1167603.3904930947,906288.4922491105,584776.3372646198,482419.8901289172,804383.933830145,118533.31627254352,118403.55781679932,-0.254385890377665,0.02635132225093062,0.37175997220966617,0.4817240954056343,0.1358299699550397,0.8726566566330717,0.8727960594280344
1250011.2375337258,1018967.3857395131,735652.1121614636,610480.5974919103,913017.3512626747,94195.7079950913,95364.78379056015,-0.34291872732027895,-0.09470246646583358,0.2096703065137897,0.3441452345219892,0.01912233861343804,0.8988031655224318,0.8975471977901021
1347844.226832024,1072582.4313483262,640919.7132534402,388611.4859201366,890664.5315741076,130181.71500116287,123099.15574046364,-0.4480231852110943,-0.15230246769163336,0.3114437216300898,0.5825048396176262,0.04313653885968205,0.86014248689903,0.8677514596689984
