MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1.309941187838667e+22,660953.3839454197,331751.1025181294,202355.49672693072,25041.821157096747,47415.78479205743,122149.15449054986,-1.2626733559055336e+16,0.362896414624175,0.6802197825132297,0.8049462857491329,0.9758617862756203,0.9542951632774712,0.8822584675911407
853446.6208122789,767784.9132275936,700714.6940338219,721674.5863975633,24878.34247095454,53968.454505297486,94232.33154915561,0.17734909109522667,0.2599197872400024,0.32456984904197517,0.304366272060011,0.9760193660075706,0.9479789396685252,0.9091679417239383
1922374.0397428405,1807981.2132925605,1760555.6982358815,19030977.819348305,23488.8033257173,58978.4219290434,181117.72916570716,-0.8530072209369459,-0.74274213773591,-0.6970279218549904,-17.344265263517947,0.9773587651133989,0.9431497515808095,0.8254177110981726
1467897.9089388498,1261761.4585697285,20725395.402581416,7721395.354137339,32658.130865831277,108995.98880380634,153923.3151421598,-0.4149303770382766,-0.21623214082853814,-18.977541593775452,-6.442777030446924,0.9685203029870376,0.8949370153096566,0.8516308436691489
1836585.9990481925,1756763.8057739423,1609621.3474492643,3.3139634853242008e+25,16894.719017822572,87917.7514622192,74354.74049564467,-1.0980805723368796,-1.0068932317839097,-0.8388005133722001,-3.785808238544713e+19,0.9806997974694601,0.8995644492542033,0.9150585724948844
1789869.6695918916,1671084.2406408747,1463399.5419188747,975508.1461650224,15531.177941549766,71606.05556338244,59105.52059158727,-1.0447127347872356,-0.9090145421145324,-0.6717595310308764,-0.1144017708323457,0.9822574806071918,0.9181986173709987,0.9324789884408715
12211233.380089477,5173368.794812925,760389.3485444568,708778.2980042016,25880.172033276707,77282.32795548979,120973.36399133941,-12.949878487756596,-4.909957152867329,0.13134581205573137,0.19030528496499033,0.9704349885167945,0.9117141528072132,0.8618023523581229
1403070.5422057512,1167435.517638211,951360.0776425387,980902.0653592295,24006.30454283066,125610.99504204001,77950.45554216632,-0.6028408404211152,-0.33365591389794025,-0.08681548113355686,-0.12056368052564936,0.9725756587488861,0.8565044117148947,0.9109508966840723
1173212.9806329536,1156064.5887132017,1112612.35583133,976298.3569509357,19460.06296797589,58131.81424239966,94339.98107335356,-0.260412415120171,-0.241989463421034,-0.19530762926722445,-0.04886204830303087,0.9790935615538243,0.9375475198501038,0.8986481693009348
714678.2113060801,834793.7248248537,933377.157464964,954888.4604152812,18702.504449624008,118533.31627254352,118403.55781679932,0.23220309933829697,0.10315996140274608,-0.002750716774136519,-0.02586085427820972,0.979907425854231,0.8726566566330717,0.8727960594280344
1418058.5245151878,1375781.624065923,1323606.3917976136,1006525.4968089776,27631.97374173817,94195.7079950913,95364.78379056015,-0.5234561832938953,-0.4780370385361341,-0.42198386524335585,-0.08133583011381118,0.9703142708670239,0.8988031655224318,0.8975471977901021
1828589.7764106034,1706396.6063456023,1492011.70596821,1177741.6390452168,33117.757305244355,130181.71500116287,123099.15574046364,-0.9645003033518305,-0.8332250863748354,-0.6029059588928118,-0.2652776675345925,0.964420754664727,0.86014248689903,0.8677514596689984
