MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
752769.6616970387,857321.5003750707,764526.7958161056,783975.1685937445,820171.742046104,135605.23292026186,142603.19441436222,0.27439322941883293,0.17361403243251472,0.2630603389564391,0.24431373998693828,0.20942328131773502,0.8692879374132125,0.8625424899028303
752769.6616970387,857321.5003750707,764526.7958161056,783975.1685937445,820171.742046104,135605.23292026186,142603.19441436222,0.27439322941883293,0.17361403243251472,0.2630603389564391,0.24431373998693828,0.20942328131773502,0.8692879374132125,0.8625424899028303
752769.6616970387,857321.5003750707,764526.7958161056,783975.1685937445,820171.742046104,135605.23292026186,142603.19441436222,0.27439322941883293,0.17361403243251472,0.2630603389564391,0.24431373998693828,0.20942328131773502,0.8692879374132125,0.8625424899028303
752769.6616970387,857321.5003750707,764526.7958161056,783975.1685937445,820171.742046104,135605.23292026186,142603.19441436222,0.27439322941883293,0.17361403243251472,0.2630603389564391,0.24431373998693828,0.20942328131773502,0.8692879374132125,0.8625424899028303
631710.3947572631,729920.0551362928,732512.5238312386,748971.4801477969,770298.799550453,54366.79613293614,83199.03720848102,0.27834617748891133,0.16615334766017953,0.16319176121332868,0.14438936562357219,0.12002544554472705,0.9378924162517696,0.9049550177913195
631710.3947572631,729920.0551362928,732512.5238312386,748971.4801477969,770298.799550453,54366.79613293614,83199.03720848102,0.27834617748891133,0.16615334766017953,0.16319176121332868,0.14438936562357219,0.12002544554472705,0.9378924162517696,0.9049550177913195
631710.3947572631,729920.0551362928,732512.5238312386,748971.4801477969,770298.799550453,54366.79613293614,83199.03720848102,0.27834617748891133,0.16615334766017953,0.16319176121332868,0.14438936562357219,0.12002544554472705,0.9378924162517696,0.9049550177913195
631710.3947572631,729920.0551362928,732512.5238312386,748971.4801477969,770298.799550453,54366.79613293614,83199.03720848102,0.27834617748891133,0.16615334766017953,0.16319176121332868,0.14438936562357219,0.12002544554472705,0.9378924162517696,0.9049550177913195
692371.0541361693,765250.1458673375,746914.7997364327,744233.6080862272,748314.0742185237,108788.65509420655,117528.66537487764,0.25616824318440723,0.17787238937354288,0.19757051603972575,0.20045098812708062,0.19606724002888865,0.8831255929072758,0.8737359785338543
692371.0541361693,765250.1458673375,746914.7997364327,744233.6080862272,748314.0742185237,108788.65509420655,117528.66537487764,0.25616824318440723,0.17787238937354288,0.19757051603972575,0.20045098812708062,0.19606724002888865,0.8831255929072758,0.8737359785338543
692371.0541361693,765250.1458673375,746914.7997364327,744233.6080862272,748314.0742185237,108788.65509420655,117528.66537487764,0.25616824318440723,0.17787238937354288,0.19757051603972575,0.20045098812708062,0.19606724002888865,0.8831255929072758,0.8737359785338543
692371.0541361693,765250.1458673375,746914.7997364327,744233.6080862272,748314.0742185237,108788.65509420655,117528.66537487764,0.25616824318440723,0.17787238937354288,0.19757051603972575,0.20045098812708062,0.19606724002888865,0.8831255929072758,0.8737359785338543
