MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
396840.99848503835,462359.76853720186,534337.1370161457,599318.8232993867,696626.7801982568,47415.78479205743,122149.15449054986,0.6174785860846452,0.5543239910351787,0.4849438492010931,0.42230695782504624,0.3285102548627298,0.9542951632774712,0.8822584675911407
427306.2041176089,460776.57134053356,508723.89053713187,558836.2056244168,636980.6088608238,53968.454505297486,94232.33154915561,0.5881126849346101,0.5558500602480078,0.5096328689735405,0.46132880337815396,0.38600415766443985,0.9479789396685252,0.9091679417239383
543498.3174155854,579930.7633961834,613996.1472910558,642918.0653062735,719008.2993005362,58978.4219290434,181117.72916570716,0.4761132402345163,0.4409954202459182,0.4081592494299453,0.3802809480080669,0.3069363490282493,0.9431497515808095,0.8254177110981726
472336.8503286642,514535.44158758566,556746.6828129812,596566.9169569128,669903.5051289446,108995.98880380634,153923.3151421598,0.5447069216089128,0.5040310215501456,0.4633429279854653,0.42495956455949224,0.3542692490266043,0.8949370153096566,0.8516308436691489
386489.4821700935,431889.29895464086,476572.3429861334,514871.90118709736,587649.6870535843,87917.7514622192,74354.74049564467,0.5584818383817287,0.5066179596237088,0.4555729082926342,0.4118202285748468,0.32868028375151537,0.8995644492542033,0.9150585724948844
348909.50637336826,378193.49990391114,415170.29426309734,450818.03958788695,525414.8032784152,71606.05556338244,59105.52059158727,0.6014124809810195,0.5679590091922158,0.5257174294826295,0.4849941298645801,0.39977621970986177,0.9181986173709987,0.9324789884408715
431127.36749204283,476505.5912750578,522532.0400979079,563329.8713430493,632015.4846945677,77282.32795548979,120973.36399133941,0.5074883754931303,0.4556491641653516,0.4030694330017006,0.35646277413940364,0.27799764860400966,0.9117141528072132,0.8618023523581229
379164.4215491645,428080.12774289266,473409.13211424544,509890.2369300193,570892.0873279935,125610.99504204001,77950.45554216632,0.5668498469519377,0.510969483658094,0.4591864996409034,0.41751118614563154,0.3478238438360859,0.8565044117148947,0.9109508966840723
412823.6698119935,450472.8522424049,492522.0750757147,531783.7638504314,626960.3196534183,58131.81424239966,94339.98107335356,0.5564930773219134,0.5160456072224833,0.4708710622931689,0.4286912357935172,0.32644065167728753,0.9375475198501038,0.8986481693009348
356574.5920723764,395589.00731444627,448721.5597150734,502941.1546865316,593152.5332630518,118533.31627254352,118403.55781679932,0.616922885969124,0.5750087116874615,0.5179270651337016,0.4596775812182202,0.3627612127327571,0.8726566566330717,0.8727960594280344
438436.1155939147,477695.72589119826,519281.2625441475,555619.0789298723,651004.0655795106,94195.7079950913,95364.78379056015,0.528976978217973,0.4867993846792623,0.44212298955573237,0.40308435320667413,0.3006098465536584,0.8988031655224318,0.8975471977901021
412530.5888422799,459565.8948742272,509707.14345316077,555947.7047304587,643810.6185202416,130181.71500116287,123099.15574046364,0.5568079416295545,0.506276721254155,0.45240870814674927,0.40273130218710185,0.30833794889371335,0.86014248689903,0.8677514596689984
