MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1625287.2108275995,1473403.6810721233,1194156.7196717404,504636.83864333725,27157.310186979892,47415.78479205743,122149.15449054986,-0.5666404536772076,-0.4202374792508896,-0.15106684689630923,0.5135724439547749,0.9738226324131853,0.9542951632774712,0.8822584675911407
866683.6802417157,1491302.67637569,1200300.3378376549,592577.5252589878,24878.34247095454,53968.454505297486,94232.33154915561,0.16458967685032821,-0.43749060838150466,-0.1569887791471427,0.42880500330896154,0.9760193660075706,0.9479789396685252,0.9091679417239383
1818390.5586817146,1821852.6714903044,1626415.753722387,925463.9511268712,24334.265652916645,58978.4219290434,181117.72916570716,-0.7527758729885508,-0.7561130591455558,-0.5677282743041747,0.10793042940575026,0.9765438103933798,0.9431497515808095,0.8254177110981726
1607202.7689163696,1568881.7152393055,1491565.3547526968,781904.7643719799,32269.108005976166,108995.98880380634,153923.3151421598,-0.5492085695821611,-0.512270290293386,-0.4377438082891787,0.24630943587851484,0.9688952883715247,0.8949370153096566,0.8516308436691489
1777763.0510008049,1655083.4845904273,1413652.7981862435,732068.6681180244,17008.38969603029,87917.7514622192,74354.74049564467,-1.0308823662252324,-0.89073558570871,-0.6149298064132729,0.1636988134555315,0.9805699422698041,0.8995644492542033,0.9150585724948844
1663941.2766739842,1496955.974403587,1197772.8618856673,500822.8157664,15531.177941549766,71606.05556338244,59105.52059158727,-0.9008545572645976,-0.7100937550256121,-0.3683127133153761,0.4278696339365028,0.9822574806071918,0.9181986173709987,0.9324789884408715
1382023.251456631,1301181.4380126607,1400661.3269002244,731380.5404305621,25880.172033276707,77282.32795548979,120973.36399133941,-0.5787968196979147,-0.48644468464560675,-0.6000885991268212,0.1644849173096934,0.9704349885167945,0.9117141528072132,0.8618023523581229
1452046.8411122574,1412936.315912489,1334847.5604352348,647769.208678236,24277.72992767093,125610.99504204001,77950.45554216632,-0.6587904236663094,-0.6141113108243013,-0.5249042163186806,0.2600008968868446,0.9722655876021674,0.8565044117148947,0.9109508966840723
1717109.8604707473,1555352.50087006,1257662.969678449,518012.73080806964,15817.592491274041,58131.81424239966,94339.98107335356,-0.8447346065800971,-0.6709545788755198,-0.35113917693308494,0.4434858053236451,0.9830067598275656,0.9375475198501038,0.8986481693009348
720017.9323878792,888515.3561417294,907096.9220845711,511034.84930210543,21420.693160990548,118533.31627254352,118403.55781679932,0.22646650175893202,0.04544545245163645,0.025482805606307002,0.4509823201308796,0.9769872068871704,0.8726566566330717,0.8727960594280344
1523773.3263921302,1528339.0985505988,1262908.5653413862,812341.3144476064,26818.814601080176,94195.7079950913,95364.78379056015,-0.6370282720341525,-0.6419333966859777,-0.35677465319136825,0.12728115444783816,0.9711878683239843,0.8988031655224318,0.8975471977901021
1793217.600137748,1649038.2293978771,1367491.670108451,617338.8508430826,26366.99258262623,130181.71500116287,123099.15574046364,-0.9264990786295528,-0.7716035294968577,-0.4691309310677907,0.33677723927086833,0.9716732721601886,0.86014248689903,0.8677514596689984
