MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
383474.6694376859,25317.928581049244,23007.09386554339,21244.0361299266,19868.255771359385,161089.09076230507,218318.76608203817,0.6312252820251385,0.9756525978994258,0.9778748500803763,0.9795703235263249,0.980893365318029,0.8450860284935998,0.7900501706968517
278034.9992033683,122124.38824640411,143294.1979213795,158347.8928665511,167526.71756917142,375358.6073477495,296500.5497970766,0.6927633945673081,0.8650490672293937,0.8416558236419627,0.8250210613011582,0.8148781981667509,0.5852180312842135,0.6723584344072139
342020.6589053356,129837.08061954055,128569.14225414977,130407.50650586499,132048.38786914616,287771.033177655,276746.22935129196,0.6197675680136,0.8556570556761417,0.8570666526572844,0.8550228997666147,0.8531986932600298,0.6800781562418311,0.6923346906409161
331539.0669259338,33915.71032867908,39252.87472659088,41034.03824155958,41731.48968862687,126226.56904509346,245846.06146528828,0.6586649683327414,0.9650821842312675,0.9595873229599664,0.9577535315144405,0.9570354725116857,0.8700438221602351,0.7468899398384569
431409.33500001574,294874.67387895606,292224.78662345925,292274.60396918847,292442.35046443564,371553.5676824139,388151.54770439025,0.5648426093421566,0.7025634745334279,0.7052363838334538,0.7051861336779326,0.7050169298122727,0.6252183995919194,0.6084762174215823
256092.2589625337,123934.93698010361,131121.77934513197,135733.4817566189,138004.53430688338,287970.82864268246,192719.07050917135,0.7083720029226537,0.8588676690742829,0.8506835699034818,0.8454319408896761,0.842845753750814,0.6720699160763953,0.7805389481162728
305616.43128241337,10612.114360550511,7880.403957530154,6692.086666289309,6001.667556107881,194683.55231196,323589.7895025574,0.6447266386746537,0.9876636163709477,0.9908391784078973,0.9922205749401736,0.9930231741884147,0.7736840269536611,0.6238329473165655
293464.65744103625,113607.50872594844,172675.59567910095,217858.37172000468,239835.6097746916,281022.3937683399,244218.2091819104,0.6912518714478737,0.880475877352783,0.8183315582958814,0.770795689182846,0.7476738891702073,0.704342121079276,0.7430630464984818
315623.6101371645,95018.54313576978,87620.99603754355,83908.82051473696,80846.85695109518,281989.6467264352,215099.80031987297,0.6952017283911747,0.9082404269250165,0.9153842510790599,0.9189691054654865,0.9219260490272233,0.7276821056053178,0.7922777471165461
362491.7023850723,57844.18101621573,60821.20499070068,62144.599305366006,62622.37846095394,247139.953295409,273612.0551553787,0.6342835316519041,0.9416412308018405,0.9386377228953899,0.9373025555196766,0.9368205259882907,0.7506614625597775,0.7239538619767032
391000.36151536275,242197.4233329799,252383.3089668511,257647.13607192578,260401.12172735712,350385.0762340748,246843.2188402565,0.5925604558472185,0.7476196508480969,0.7370055107911093,0.7315203718314451,0.7286505978606399,0.6348833663849698,0.742778527948937
240621.67571973844,55808.151614985494,80235.24150758352,95434.20088470276,102960.21258402643,139682.71220079917,217449.08899778558,0.724192652787129,0.9360311235314026,0.9080321045599994,0.8906106289025777,0.8819841021540017,0.8398917379809393,0.750753724863138
237594.14967284567,16825.678386736814,18934.01644649693,23211.160627094883,27519.65596026189,132077.1245802527,186756.8882858211,0.752080576499509,0.9824431178487001,0.9802431564563864,0.9757801378132824,0.971284405571457,0.8621831192871282,0.8051271037509977
214611.92733211032,69745.47594197973,85973.54517842017,93154.35027320893,98032.75756197529,97909.60392615704,186544.40915249646,0.7257088467756081,0.9108597212367172,0.8901189549577755,0.880941313551661,0.874706320102004,0.8748637202670939,0.7615813727127115
491750.88626087405,302583.80180985574,301471.7662875809,301700.0916300558,302230.231583533,419292.7067964674,443089.2517724757,0.5429179175128953,0.7187485816045016,0.7197822177941299,0.719569989558373,0.7190772248665034,0.6102677413528579,0.5881488705230824
