MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
270051.0142311486,169947.671550828,149093.8307281372,148800.91855795062,164955.3077773935,175691.0085936056,264692.3758483141,0.7403010040847039,0.8365670286943812,0.8566214674382945,0.8569031512405397,0.8413680173627485,0.8310438542398842,0.7454542267506411
278087.51749447774,177287.1738679657,150471.2777873428,147025.5892410236,163849.73233229257,193602.6239530433,262980.81413928245,0.7325725686477973,0.829508875672052,0.8552968228365305,0.8586104258543292,0.8424312121588087,0.8138188549659121,0.7471001781963266
283425.05581267324,180130.33199554982,152810.90191369675,148615.52894402263,163776.68994125657,193602.6239530433,262980.81413928245,0.7274396372057834,0.8267747059335521,0.8530468848455062,0.8570814342095088,0.8425014545745437,0.8138188549659121,0.7471001781963266
286924.9944527242,182247.85767420908,153666.61876084152,148894.63604264602,163771.54917940157,193602.6239530433,262980.81413928245,0.7240738636937892,0.8247383525647698,0.8522239706764037,0.8568130262812079,0.8425063982726659,0.8138188549659121,0.7471001781963266
263112.1193172836,111866.00433471907,99645.57932611914,108340.08826471902,127144.19308699237,189258.69139411004,230480.6063556879,0.7092536025361504,0.8763848740856597,0.8898887923238119,0.8802811119243895,0.8595020396840276,0.7908637471571408,0.7453123552154142
263440.49677609676,119493.97382084398,106704.2622700685,112833.58400215927,127597.39897818388,171049.9107834847,230480.6063556879,0.7088907360767642,0.8679557502056587,0.8820887463125602,0.8753156709516594,0.8590012342459685,0.8109849691612279,0.7453123552154142
263440.49677609676,119496.18045140176,106711.9336229105,112853.04644123605,127633.07014627144,171049.9107834847,230480.6063556879,0.7088907360767642,0.8679533118159453,0.8820802692488343,0.8752941644012879,0.8589618165876649,0.8109849691612279,0.7453123552154142
263440.49677609676,119496.37136777103,106712.53830742343,112854.5663287626,127635.86347754585,171049.9107834847,230480.6063556879,0.7088907360767642,0.8679531008479111,0.8820796010551981,0.8752924848822143,0.8589587298769233,0.8109849691612279,0.7453123552154142
242974.07266860973,102637.44934945267,83172.40810359942,84486.14287917098,96289.36006188454,104051.37564353303,183999.6565426227,0.7298799936351316,0.8858955271768394,0.9075352725516207,0.9060747626213157,0.8929528477375455,0.8843236319727065,0.7954432427684786
253101.55980985527,109802.49658253253,86951.62520771241,85775.9083677469,95966.04656400278,120117.98575005993,183999.6565426227,0.7186210273552829,0.8779299752027248,0.9033338277760312,0.9046408999126041,0.8933122829774724,0.8664620026368223,0.7954432427684786
251403.36908972802,107855.01258551201,86222.81703984656,85606.83072321283,95940.45650404628,120117.98575005993,183999.6565426227,0.7205089460253344,0.8800950390874963,0.9041440610028957,0.9048288675171969,0.8933407320505871,0.8664620026368223,0.7954432427684786
251403.36908972802,107855.17018658808,86222.57173335717,85605.90136197589,95938.38310483225,120117.98575005993,183999.6565426227,0.7205089460253344,0.8800948638786635,0.9041443337159047,0.9048299007100001,0.8933430370973879,0.8664620026368223,0.7954432427684786
