MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
63.23387664593129,59.54992530298612,58.22984887313032,57.39347990160207,57.2996782989259,68.1980493464426,59.706172168497616,0.030453737873525788,0.08693867037905345,0.10717901046534017,0.12000280766259708,0.12144103979511967,-0.04566044872427977,0.0845429835658934
63.058334839546184,59.84003239881921,58.510593908681095,57.56639032354253,57.193553323057785,72.67231480307262,59.249488357622916,0.03314526828815767,0.08249054438550918,0.10287443016334585,0.11735162348463202,0.12306822255108651,-0.1142630329613219,0.09154518088943409
63.02361633843515,59.651053678369884,58.36480553159793,57.4927324405233,57.1844769419778,70.98848650243984,59.249488357622916,0.033677596760873674,0.08538809901526923,0.10510976007762463,0.11848099794252465,0.12320738800821973,-0.08844539340582691,0.09154518088943409
63.02361633843515,59.651702444093644,58.3651033609699,57.49250856289822,57.183658311858025,70.98848650243984,59.249488357622916,0.033677596760873674,0.08537815168298735,0.1051051935482632,0.11848443059170066,0.1232199398208681,-0.08844539340582691,0.09154518088943409
71.69891568712424,68.33333244218919,67.50893048789091,66.61110022783326,66.23767869215682,67.4255323416283,63.970738242343415,-0.084672673250201,-0.03375759119707933,-0.021285906471699256,-0.007703386583235661,-0.0020542058185104572,-0.020024245965625465,0.032240432171945166
71.48174383274058,68.95055357448206,67.39234846060371,66.54130913126421,66.24575701076797,69.05661625511452,63.94998328674212,-0.08138726267471941,-0.043095011284044915,-0.0195222349017925,-0.006647575702985353,-0.002176415915543961,-0.04469954449394353,0.03255441646249546
70.90913193265015,67.77935360490315,67.25345043604946,66.47193861627535,66.24632548904185,69.06189880936401,63.94998328674212,-0.07272469819304361,-0.025376910672073816,-0.017420963353142138,-0.005598127448201984,-0.0021850159458665086,-0.04477945982020004,0.03255441646249546
70.90913193265015,67.7793857805465,67.25348535154612,66.47197167928731,66.24636549280234,69.06189880936401,63.94998328674212,-0.07272469819304361,-0.02537739743035683,-0.01742149156036432,-0.00559862763073915,-0.0021856211291584327,-0.04477945982020004,0.03255441646249546
59.57007265426798,55.074980306253146,54.03393305614829,53.04528603844673,52.39090650343402,70.94223510474524,53.73787015770355,-0.04942373760168217,0.029764626664656624,0.048104367536984105,0.06552099307153081,0.07704895311664739,-0.24976287924847873,0.053319997124248175
59.48384989289455,54.90686407558844,53.82484355013549,52.923907062058085,52.385766642504,70.26118389368189,53.73787015770355,-0.04790478339405535,0.032726267557049105,0.0517878193294089,0.06765928119831066,0.07713950012838644,-0.23776505424060446,0.053319997124248175
59.55937666617956,54.98639745920689,53.91459663859612,52.982931627002635,52.38535094428675,70.20661779907513,53.73787015770355,-0.04923531037141449,0.03132515762076615,0.05020667266705203,0.06661946746644032,0.07714682332873579,-0.2368037837167145,0.053319997124248175
59.55937666617956,54.9863235931359,53.91455068238878,52.982894195524516,52.385317092474644,70.20661779907513,53.73787015770355,-0.04923531037141449,0.03132645889177099,0.05020748226040528,0.06662012688282049,0.07714741968347572,-0.2368037837167145,0.053319997124248175
