MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1.4087080273849033,1.4145486584587466,1.3913751760577566,1.3279130253009572,1.106325031520601,1.0334576192492992,0.936474848627345,-0.5840394498426404,-0.5906070208744596,-0.5645493072817107,-0.4931884940994029,-0.24402108897630836,-0.1620844112532729,-0.053030915685847946
1.2519423576211421,1.2084581057425734,1.1696971073514508,1.145568149005088,1.1204303880500484,0.9981578373001614,0.9306110837767112,-0.40776232182216376,-0.35886590816970854,-0.3152806162758268,-0.28814850574529927,-0.2598820344400874,-0.1223911276975036,-0.04643733158790875
1.1783251318268972,1.118493424130332,1.1081118300907695,1.1530626184506465,1.1215746244152136,1.0131791024994066,0.9281038170261149,-0.32498250685757246,-0.2577039910115648,-0.2460302770898477,-0.29657575612410425,-0.2611686854047528,-0.13928197817865273,-0.04361800397209614
1.1710241659728466,1.1586383932630413,1.1353476828860125,1.13997967738213,1.1211938724791601,1.0148082155506688,0.9304295012231171,-0.3167728440247146,-0.30284550620330863,-0.2766559741392647,-0.28186447857784924,-0.2607405441039379,-0.14111385482824002,-0.046233148802899526
1.3380315059934198,1.2652552707291322,1.1805061306553148,1.084057858818423,0.9066516326522932,0.9271077758334606,0.8517083710432105,-0.732640347072441,-0.6384011300120613,-0.528657989574894,-0.4037654392564034,-0.1740390210813092,-0.2005280378663563,-0.10289203280992765
1.2673757854663728,1.2142019887882312,1.1407164387633295,1.0717824950665058,0.9051389340760534,0.9390186715238866,0.8519309719972474,-0.6411470215503747,-0.5722913442969666,-0.47713362317482977,-0.3878698565169134,-0.1720802012968632,-0.215951664552696,-0.10318028266991486
1.3149628648809844,1.2642452381925215,1.2546864820850643,1.151335052549103,0.9047932633242509,1.0157436846471082,0.8516942502246059,-0.7027683611255449,-0.6370932212543461,-0.6247154211611341,-0.4908838514712488,-0.17163258620806054,-0.31530422297265437,-0.10287374751549438
1.3711091135311233,1.292116780547542,1.2617553114779503,1.144523596934228,0.9047141626756023,1.0169915182742528,0.850199944604631,-0.7754731183096935,-0.6731845678356008,-0.6338689716999852,-0.4820635787289689,-0.1715301573977417,-0.316920064512364,-0.1009387450910908
1.4165962621588954,1.2999369344437437,1.2774911028190623,1.2346326362214572,1.0158044808661284,1.0586504703200221,0.9057227461667264,-0.732526948273702,-0.5898501430095335,-0.562398420027497,-0.5099816162242192,-0.24235019129278346,-0.29475173528753595,-0.10771792028228866
1.4815962366060285,1.453950225174392,1.4191646680999503,1.3252740803951388,1.0154195354650246,1.114281126744683,0.907732373294105,-0.8120232806974059,-0.7782116287136591,-0.7356681626237964,-0.6208380040718213,-0.24187939499122457,-0.36278919520501085,-0.1101757364202891
1.3145630842940423,1.2943944137695818,1.293668047496901,1.259544520306362,1.015376488317513,1.114824463570041,0.9086770083439467,-0.6077382311275363,-0.5830715239450477,-0.5821831627546696,-0.5404493731019564,-0.24182674742670485,-0.3634537075414248,-0.11133104490433121
1.3665206567940944,1.292144137240694,1.271285011666943,1.2531277374550118,1.015374585135551,1.1162726091423898,0.9086770083439467,-0.6712834323453043,-0.5803193885402682,-0.5548082403470116,-0.5326015130530797,-0.24182441979523728,-0.3652248199579533,-0.11133104490433121
