MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
14492.717607547635,12642.575860922912,9925.54332016512,9191.719400506803,10434.260578573798,538.9936197438722,569.5780700578828,-1.0142443963147278,-0.7571057597634989,-0.37948385902515835,-0.27749465602822054,-0.45018701593512467,0.9250889372429996,0.9208382122011152
13995.366351640807,12258.327333473224,9851.879406831487,8990.678783116493,10442.204700988003,524.5326874076007,569.5780700578828,-0.9451209229029021,-0.7037016664687639,-0.3692458119824418,-0.24955338593825505,-0.45129111555879486,0.927098764020322,0.9208382122011152
14024.689760816706,12258.326051647666,10348.795841211237,8990.678619253174,10442.23937968113,524.5326874076007,569.5780700578828,-0.9491963844010711,-0.7037014883165349,-0.4383088525032093,-0.24955336316400523,-0.45129593531484025,0.927098764020322,0.9208382122011152
14024.689760816706,12195.845244215418,9495.254699402632,8990.678651528327,10442.239550292996,524.5326874076007,569.5780700578828,-0.9491963844010711,-0.6950177052155599,-0.31968096583158223,-0.24955336764970948,-0.4512959590270249,0.927098764020322,0.9208382122011152
13837.731235974243,11770.973725029187,9573.379494643688,7850.486730233563,9678.042609901942,173.98071164613353,297.5221475472699,-1.1772575022648994,-0.8520695636258644,-0.5062955025860079,-0.23521196057025962,-0.5227634154989302,0.9726255118544177,0.9531872445857884
13541.24233629364,11362.830588745246,9355.772881238832,7754.902980606648,9679.667076340696,173.9183995925363,297.5221475472699,-1.1306073202256894,-0.7878514710557514,-0.47205682404118465,-0.2201726139880118,-0.5230190124375209,0.9726353161629321,0.9531872445857884
13541.195758939,11353.887064441134,9355.57002859184,7754.6384903815915,9679.642745200108,173.9183995925363,297.5221475472699,-1.1305999916475367,-0.7864442782829077,-0.4720249067824962,-0.2201309985441966,-0.5230151841250987,0.9726353161629321,0.9531872445857884
13541.195758939,11353.887061541242,9355.57004101267,7754.638530177688,9679.643198366,173.9183995925363,297.5221475472699,-1.1305999916475367,-0.7864442778266325,-0.4720249087368158,-0.22013100480579761,-0.5230152554271656,0.9726353161629321,0.9531872445857884
14689.959196310325,12664.320909069187,9181.336123065164,8230.592167662682,9594.416999072238,157.84983894922505,272.3246902127849,-1.1933276929292416,-0.890883792854988,-0.37084647463611753,-0.22889284369661778,-0.43252273340975367,0.9764317641414065,0.9593397587746806
14377.172888631741,12258.863891309169,8946.001379280924,8055.011926634851,9594.504445095512,161.02270206194476,272.3246902127849,-1.1466262105471237,-0.8303458367271781,-0.3357091264820107,-0.20267731785130016,-0.43253578979622276,0.9759580304544709,0.9593397587746806
14388.026729946501,12258.865619563065,8456.75830549752,8055.01801208649,9594.507537188676,161.02270206194476,272.3246902127849,-1.1482467753432668,-0.8303460947692243,-0.2626612460922213,-0.20267822645760925,-0.43253625147031416,0.9759580304544709,0.9593397587746806
14410.14414981653,12258.865616971072,8946.005301068964,6846.452758551464,9594.507568732255,161.02270206194476,272.3246902127849,-1.1515490819629655,-0.8303460943822194,-0.3357097120361432,-0.022229826032084787,-0.43253625618002123,0.9759580304544709,0.9593397587746806
