MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
21253.251488344,20470.95553400865,20401.411395597606,15487.880865635516,10434.260578573798,538.9936197438722,569.5780700578828,-1.9538450877956817,-1.8451190858856577,-1.8354536183809271,-1.152555379133982,-0.45018701593512467,0.9250889372429996,0.9208382122011152
20675.150228698534,22932.27060937407,21547.753117022134,15316.77828501265,10442.204700988003,524.5326874076007,569.5780700578828,-1.8734987197592998,-2.187200552755463,-1.9947758691255788,-1.128774993457033,-0.45129111555879486,0.927098764020322,0.9208382122011152
20673.12161169601,19735.744020102826,18152.998258781765,15039.204932406177,10442.23937968113,524.5326874076007,569.5780700578828,-1.8732167760590048,-1.7429370305877852,-1.5229619460755788,-1.0901969582538418,-0.45129593531484025,0.927098764020322,0.9208382122011152
20673.12161169601,19808.149204421392,18152.998265919407,14863.53362230583,10442.239550292996,524.5326874076007,569.5780700578828,-1.8732167760590048,-1.7530001354330662,-1.5229619470675915,-1.0657815958942924,-0.4512959590270249,0.927098764020322,0.9208382122011152
21260.963233476356,20357.710601919545,18904.1247506036,15778.183415259162,9678.042609901942,173.98071164613353,297.5221475472699,-2.3452443118075568,-2.203124658306488,-1.9744144278507845,-1.482572296510281,-0.5227634154989302,0.9726255118544177,0.9531872445857884
21266.12310627178,20563.54347192642,18337.548095906262,14369.492764156468,9679.667076340696,173.9183995925363,297.5221475472699,-2.346056176958209,-2.235510831501564,-1.885268074954368,-1.2609259705207854,-0.5230190124375209,0.9726353161629321,0.9531872445857884
22044.113341515473,20167.742499119973,19108.0804940264,73724.30780901482,9679.642745200108,173.9183995925363,297.5221475472699,-2.468466783688995,-2.173234680682401,-2.006505250032882,-10.599936401363635,-0.5230151841250987,0.9726353161629321,0.9531872445857884
22044.113341515473,20167.74247077675,18337.552153363322,15119.014809664015,9679.643198366,173.9183995925363,297.5221475472699,-2.468466783688995,-2.173234676222819,-1.8852687133631267,-1.3788573328854303,-0.5230152554271656,0.9726353161629321,0.9531872445857884
21847.413242994247,20914.22060800759,19184.27013816864,17043.165741925342,9594.416999072238,157.84983894922505,272.3246902127849,-2.261992483734334,-2.1226594044656086,-1.8643640462425068,-1.5446801381406723,-0.43252273340975367,0.9764317641414065,0.9593397587746806
21803.812548527596,21125.40068319404,19420.912069501428,15060.268004282192,9594.504445095512,161.02270206194476,272.3246902127849,-2.2554825534257,-2.1541902685688705,-1.8996965678897308,-1.2486177419080242,-0.43253578979622276,0.9759580304544709,0.9593397587746806
21716.757071126838,21125.401090022388,19199.179563788934,15001.07966627567,9594.507537188676,161.02270206194476,272.3246902127849,-2.242484478560236,-2.154190329311577,-1.8665901420172912,-1.2397804524973925,-0.43253625147031416,0.9759580304544709,0.9593397587746806
21803.812548527596,20853.84863080705,19199.17956068954,15060.26737987586,9594.507568732255,161.02270206194476,272.3246902127849,-2.2554825534257,-2.1136453883133997,-1.8665901415545272,-1.2486176486791947,-0.43253625618002123,0.9759580304544709,0.9593397587746806
