MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
667.2188420564395,605.5107590607113,484.2234722264199,406.50274259547797,747.948963768596,399.4505608711331,943.9547384769741,0.9090400846208315,0.9174525598893691,0.9339872868059733,0.9445827174875303,0.8980343926699639,0.9455441199726697,0.8713135215591413
586.6635045236362,535.6716676776039,440.3919323085439,390.94425389302603,748.1980774725446,440.477459694111,925.963016975965,0.9200219487761371,0.9269735108007466,0.9399627073285421,0.9467037589309059,0.8980004317563886,0.9399510476402009,0.8737662782292218
586.6635045236362,535.6725080846653,440.39358209735065,390.9538998872987,748.2082163291713,440.477459694111,925.963016975965,0.9200219487761371,0.926973396230608,0.939962482417852,0.9467024439218452,0.8979990495569021,0.9399510476402009,0.8737662782292218
586.6635045236362,535.672516229339,440.39359804076076,390.9539938986281,748.2083163191359,440.477459694111,925.963016975965,0.9200219487761371,0.9269733951202694,0.9399624802443354,0.9467024311055666,0.8979990359255744,0.9399510476402009,0.8737662782292218
248.53459455329082,240.6459678197835,240.49209109068843,273.4359324868742,637.9689512513521,397.1506668241282,958.3832004629401,0.9599739669638595,0.9612444155901873,0.96126919715049,0.9559636529205966,0.8972562899554685,0.9360396256336085,0.8456541725631419
243.93156805148084,243.9264946134179,256.1391028585453,313.1332724927318,636.5958164812191,419.03782585386557,958.3832004629401,0.9607152757991901,0.9607160928669303,0.9587492750806358,0.9495704703321636,0.8974774307498564,0.9325147394825835,0.8456541725631419
243.93156805148084,243.92586648318908,256.1373336621556,313.13001464453845,636.6206613090245,419.03782585386557,958.3832004629401,0.9607152757991901,0.9607161940261324,0.9587495600064155,0.9495709950025406,0.897473429536664,0.9325147394825835,0.8456541725631419
243.93156805148084,243.92587709768128,256.1373643091944,313.13007106481956,636.6202331014931,419.03782585386557,958.3832004629401,0.9607152757991901,0.9607161923166883,0.958749555070767,0.9495709859161595,0.8974734984986884,0.9325147394825835,0.8456541725631419
462.9442210926839,438.9462733475083,413.6953102454021,402.9035990213044,724.2373477991649,579.4866829428234,822.0670351201453,0.9282509715638303,0.9319702737102407,0.9358837734087087,0.9375563178756536,0.8877546717418142,0.9101887341962904,0.8725926183071104
469.6986021756796,457.14147560804975,437.0964157855976,417.6256567441678,723.9742973773159,579.1172482292645,822.0670351201453,0.9272041493802663,0.929150305288749,0.9322569723593762,0.9352746318969335,0.8877954403945751,0.9102459907307945,0.8725926183071104
469.6986021756796,457.14139207658565,437.09627630114954,417.6255322771368,723.9754893340312,579.1172482292645,822.0670351201453,0.9272041493802663,0.9291503182348041,0.9322569939772585,0.9352746511873538,0.8877952556601463,0.9102459907307945,0.8725926183071104
469.6986021756796,457.1413908102675,437.0962722077618,417.62552345211964,723.9754606975582,579.1172482292645,822.0670351201453,0.9272041493802663,0.9291503184310633,0.9322569946116688,0.9352746525550917,0.8877952600983464,0.9102459907307945,0.8725926183071104
