MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
131953835.45259358,120925018.44340958,98167644.5321305,79276448.00871935,92436439.84226799,11526191.199524047,25554263.377502464,-0.2777036363086651,-0.17091204856523912,0.049446679921464676,0.23236936958330268,0.10494170246135448,0.8883923581462569,0.7525591042607129
129631753.76181151,118583733.48735034,96135735.39029306,82812389.85885264,92502894.61101401,14265647.384663159,25554263.377502464,-0.2552190134862846,-0.1482414813041124,0.06912157372254113,0.1981309880751395,0.10429822363115904,0.8618663150247744,0.7525591042607129
129583456.16598299,118622028.34248523,97021877.0181664,75495693.7240807,92503182.74335541,14265647.384663159,25554263.377502464,-0.25475134982494874,-0.1486122888330481,0.060541100283972527,0.2689782599645745,0.10429543365738458,0.8618663150247744,0.7525591042607129
129585204.97362001,118677724.99755794,96552350.0797606,82812481.27181782,92503184.13873798,14265647.384663159,25554263.377502464,-0.254768283458362,-0.1491515972849211,0.0650875105833646,0.19813010292710564,0.10429542014595172,0.8618663150247744,0.7525591042607129
86387420.3972749,72525791.30537364,47712748.34179184,27613132.561637625,59473401.9079222,3105889.4342796504,7491561.084955743,-0.06330545816533117,0.10731134928996933,0.4127243815987761,0.6601218738236763,0.2679675747517869,0.9617709479836284,0.9077896092373223
89038387.35792597,74900583.46042155,52761962.03281059,37057889.18343722,59474384.98028124,3127116.8673357414,7491561.084955743,-0.09593506587572831,0.07808105801771947,0.3505757903755021,0.5438704425294104,0.2679554745385807,0.9615096686755118,0.9077896092373223
89037882.92802867,74900592.57896435,50528530.61823461,37057967.3319511,59474389.41869873,3127116.8673357414,7491561.084955743,-0.09592885706592047,0.07808094578151314,0.3780661333286234,0.5438694806330953,0.2679554199080162,0.9615096686755118,0.9077896092373223
89036703.65286541,74900592.46834126,49776373.92703394,32065301.971864,59474389.47859008,3127116.8673357414,7491561.084955743,-0.09591434187711134,0.07808094714312497,0.38732410528184646,0.6053220428668098,0.2679554191708394,0.9615096686755118,0.9077896092373223
105912246.38252798,93632978.42726876,69073625.55914378,46124989.36898275,66491649.291259356,2636193.121216649,10622738.213976713,-0.21656014426409143,-0.07551443420376769,0.20658636989368662,0.47018569015861933,0.2362442189926376,0.9697193894625542,0.8779820051460349
105927059.40088277,94346658.6703378,70525490.66358814,50192620.20016959,66497581.24729891,2635057.454998767,10622738.213976713,-0.21673029387721154,-0.08371211642769727,0.18990953334982308,0.42346288217540506,0.23617608162852977,0.9697324342831963,0.8779820051460349
105936890.84603201,94311117.78292914,70286877.57153735,47071327.637083486,66497577.50003932,2635057.454998767,10622738.213976713,-0.21684322269080591,-0.08330387631770098,0.19265036066303265,0.45931558344966383,0.23617612467139615,0.9697324342831963,0.8779820051460349
105929535.0935867,94289348.26082966,70616171.86572091,47071328.17224474,66497577.94413621,2635057.454998767,10622738.213976713,-0.21675873090102993,-0.08305382088171065,0.18886792446967293,0.45931557730253847,0.23617611957028084,0.9697324342831963,0.8779820051460349
