MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
115972194.82244827,109380650.08225693,98141255.95684509,92113450.33199993,12191245.48317648,12114778.322020281,22775721.87210873,-0.12295405834242934,-0.05912839799275749,0.04970219942556631,0.10806919678801474,0.8819526644939216,0.8826930929136971,0.7794636089528223
118637419.41072226,111792552.9512617,100003143.98355968,92426418.53820847,12286535.17094038,14514395.774620304,22808734.886001434,-0.14876131992248687,-0.0824827556404959,0.03167361318574102,0.10503873834207356,0.8810299783124926,0.8594576944546785,0.7791439452783899
118637409.30459845,111790621.19130841,100001602.18211131,92445316.16508104,12287385.669029906,14514395.774620304,22808734.886001434,-0.14876122206529985,-0.08246405048722516,0.03168854238662633,0.10485575338760156,0.8810217429739902,0.8594576944546785,0.7791439452783899
118637408.72188026,111782957.10752149,99990629.89017889,92443265.86036167,12368646.245104047,14514395.774620304,22808734.886001434,-0.14876121642286333,-0.08238983947479106,0.03179478664434421,0.1048756064050338,0.8802349001119972,0.8594576944546785,0.7791439452783899
96030432.78045502,87972668.20206343,73518455.42553416,66119708.81670127,1084143.7678528235,3724144.2710536355,7079394.174227556,-0.1819971340255211,-0.08281758893187763,0.09509307523759514,0.18616105268819183,0.9866557424623574,0.954161116141727,0.9128627937801292
92808846.63031204,84918524.59741363,71280386.76003005,64830014.22416343,1060106.6186916085,3634676.5584914316,7079410.246825747,-0.14234402108796962,-0.045225453990118236,0.12264049611016459,0.20203534657618316,0.9869516053528606,0.9552623355861725,0.9128625959494578
92808852.55983134,84903050.94586848,71257586.44079399,64802157.42589006,1093511.4512212442,3634676.5584914316,7079410.246825747,-0.14234409407186255,-0.045034995494309005,0.12292113539514515,0.20237822387839766,0.9865404396924611,0.9552623355861725,0.9128625959494578
92808848.76765013,84927008.11242554,71270982.24530892,64797971.664227754,1053987.7803113868,3634676.5584914316,7079410.246825747,-0.1423440473955413,-0.04532987391347154,0.12275625222127873,0.20242974461141217,0.9870269194925514,0.9552623355861725,0.9128625959494578
100326691.73205705,88473959.36167051,69889693.5862645,59794595.38886581,1292300.590596622,5342680.359516917,8509171.361481236,-0.15240171685401194,-0.016255404270277607,0.19721261123297829,0.31316987338971336,0.9851559999279917,0.9386313461291756,0.9022594733596434
101078574.08041362,88788595.91412476,69946774.60060044,59778235.87785325,1293534.484673422,5356612.088165039,8509171.361481236,-0.1610382072451475,-0.019869474434194512,0.1965569506327446,0.3133577867779882,0.9851418268138586,0.9384713194430001,0.9022594733596434
101078573.34324129,88789366.59139048,69947950.54083708,59803501.044178866,1303611.3418263153,5356612.088165039,8509171.361481236,-0.1610381987776235,-0.01987832681224888,0.19654344320491834,0.3130675786534344,0.9850260790773091,0.9384713194430001,0.9022594733596434
101078569.7627479,88787703.40716395,69942206.7689234,59776547.346918404,1298337.2225389455,5356612.088165039,8509171.361481236,-0.1610381576503157,-0.01985922266035245,0.19660941899361695,0.3133771820746404,0.9850866602049904,0.9384713194430001,0.9022594733596434
