MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
138081495.19050035,112319862.10023756,100551592.77093075,94829357.12354164,34203370.82874324,12114778.322020281,22775721.87210873,-0.3370375169975557,-0.08758866874104654,0.02636300582408657,0.08177118148951334,0.6688101476398578,0.8826930929136971,0.7794636089528223
150193131.04459754,140235447.41721824,112254330.26017591,104390522.98716849,34113968.10806393,14514395.774620304,22808734.886001434,-0.45431399569442577,-0.35789414903915584,-0.08695412659186541,-0.010809199743097464,0.6696758305577968,0.8594576944546785,0.7791439452783899
150193375.43727225,140237967.90433457,112235077.57691883,104389410.85029873,34119759.0697509,14514395.774620304,22808734.886001434,-0.4543163621387818,-0.3579185548136661,-0.08676770364082431,-0.010798430966898698,0.6696197569106779,0.8594576944546785,0.7791439452783899
150218744.12421745,140242078.09588167,112234817.1967758,104389532.33458588,34119429.683264434,14514395.774620304,22808734.886001434,-0.4545620061054545,-0.3579583536316968,-0.08676518239046094,-0.010799607294323277,0.6696229463466655,0.8594576944546785,0.7791439452783899
120239175.85612829,114747375.66017213,112525401.0380148,97202656.92197445,11518778.904484423,3724144.2710536355,7079394.174227556,-0.47997209993268175,-0.41237590251575074,-0.3850265762738101,-0.19642553485215464,0.858220323928965,0.954161116141727,0.9128627937801292
121882519.33903244,120107680.43583906,111795182.1610676,91563621.78084838,11525820.98887784,3634676.5584914316,7079410.246825747,-0.5001993053171769,-0.4783535795801319,-0.37603862740414096,-0.12701708606677342,0.8581336459527278,0.9552623355861725,0.9128625959494578
121881287.70472915,120101946.4599022,111798864.26637892,91565849.99854481,11534780.78278499,3634676.5584914316,7079410.246825747,-0.5001841456623208,-0.47828300254608425,-0.376083948848595,-0.12704451223632085,0.8580233637180958,0.9552623355861725,0.9128625959494578
121884248.83339761,120101972.24688154,111799913.85282427,91564102.72007896,11535044.863152103,3634676.5584914316,7079410.246825747,-0.500220592916574,-0.478283319946879,-0.37609686775497075,-0.1270230057401074,0.858020113266879,0.9552623355861725,0.9128625959494578
97721620.25813504,63790978.668160915,53858517.516001604,62140699.106603384,4730002.493936332,5342680.359516917,8509171.361481236,-0.12247858486145247,0.2672654498234893,0.3813545829018882,0.2862213723920026,0.945668865377385,0.9386313461291756,0.9022594733596434
134863579.94751853,113143060.4376158,97013076.16956621,75270084.05057551,4750085.419349989,5356612.088165039,8509171.361481236,-0.5491093984008917,-0.2996168302514033,-0.11433989903381492,0.13541080055455668,0.9454381830203114,0.9384713194430001,0.9022594733596434
134866876.00911605,113153122.96425824,97023126.97179554,74938637.73041901,4705558.574697171,5356612.088165039,8509171.361481236,-0.5491472585852382,-0.2997324133806627,-0.11445534749069974,0.13921795597649955,0.9459496402540557,0.9384713194430001,0.9022594733596434
134859466.8693906,113126724.20554756,97015459.93917166,75286584.65611808,4735490.432992302,5356612.088165039,8509171.361481236,-0.5490621535629097,-0.29942918425653064,-0.114367280183721,0.135221266485127,0.9456058282106958,0.9384713194430001,0.9022594733596434
