MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
147492363.65001014,142490579.38507003,133827203.20571098,116989376.25928451,12386841.946120966,12114778.322020281,22775721.87210873,-0.4281625745625408,-0.3797305004100513,-0.29584338027360224,-0.13280338493588228,0.8800587118771137,0.8826930929136971,0.7794636089528223
150174981.67594463,144541952.97159368,138642151.13527158,119260516.11594322,14009576.35539115,14514395.774620304,22808734.886001434,-0.4541382560939433,-0.39959386763949767,-0.3424663257691629,-0.1547947400447749,0.8643458404143315,0.8594576944546785,0.7791439452783899
150175048.4496935,144528009.1840926,138090390.55952072,119244502.44051486,13073312.731939413,14514395.774620304,22808734.886001434,-0.4541389026614453,-0.3994588505107197,-0.3371236504949615,-0.15463968027515707,0.8734116431030119,0.8594576944546785,0.7791439452783899
150175048.4496935,144528009.16901803,138746338.5042684,119244355.60152401,12507218.1061723,14514395.774620304,22808734.886001434,-0.4541389026614453,-0.39945885036475337,-0.343475167837058,-0.1546382584391648,0.8788931144020958,0.8594576944546785,0.7791439452783899
127548519.4269951,123665454.4146127,116743087.31305517,97180050.5066695,1112334.1529213332,3724144.2710536355,7079394.174227556,-0.5699396539905124,-0.5221446833444472,-0.43694025556247773,-0.1961472822469401,0.9863087591843144,0.954161116141727,0.9128627937801292
124640659.26478845,120087184.01523195,111781459.54614203,91567964.05483077,1197346.5330467545,3634676.5584914316,7079410.246825747,-0.5341480587809695,-0.47810129798862033,-0.3758697216620368,-0.1270705332423585,0.985262378503154,0.9552623355861725,0.9128625959494578
124639474.83680525,120087186.1207814,111777074.33106293,91568003.45584229,1301070.7175079214,3634676.5584914316,7079410.246825747,-0.5341334801683248,-0.47810132390491944,-0.3758157459430329,-0.12707101821239708,0.9839856823016225,0.9552623355861725,0.9128625959494578
124639404.29727472,120087186.08651684,111777074.14804903,91568002.79729503,1301070.993569551,3634676.5584914316,7079410.246825747,-0.5341326119277006,-0.4781013234831717,-0.37581574369039394,-0.12707101010662325,0.9839856789036991,0.9552623355861725,0.9128625959494578
138146081.99358577,133133750.08282954,123666152.95527785,99497754.64229338,1370649.0501672563,5342680.359516917,8509171.361481236,-0.5868138310713853,-0.5292397219317735,-0.42049024563675785,-0.14288013781142883,0.9842560509935327,0.9386313461291756,0.9022594733596434
138777665.0612454,133780204.44283357,124633377.40842174,100368071.93295126,1323855.772828834,5356612.088165039,8509171.361481236,-0.594068504767302,-0.5366652146045114,-0.4316002613378942,-0.15287703019018362,0.9847935415876216,0.9384713194430001,0.9022594733596434
138775120.29164174,133780408.7275056,124475929.70864165,100368065.94639511,1292619.2445716644,5356612.088165039,8509171.361481236,-0.5940392742922447,-0.5366675611187111,-0.42979173963336237,-0.15287696142565577,0.9851523397117364,0.9384713194430001,0.9022594733596434
138775046.6334998,133789866.10168159,124475929.71786144,100368065.9660518,1297857.9869798273,5356612.088165039,8509171.361481236,-0.5940384282186046,-0.5367761931691575,-0.42979173973926543,-0.15287696165144227,0.9850921649402864,0.9384713194430001,0.9022594733596434
