MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
5974914.087503054,6706496.8857438015,4071040.3744060476,4040307.350762503,885007.0599897663,5550383.853562117,18491255.973575704,0.9421451492482217,0.9350612626876912,0.9605802811862431,0.9608778678075749,0.991430512536227,0.9462558582834598,0.8209499184596258
4185685.7813335494,3751986.1587911337,5293932.883605922,10493829.512745991,3010218.62708424,3070391.3232997265,11826294.850404495,0.9594701743612695,0.9636696702144023,0.9487390626232506,0.8983886744841474,0.9708521751359671,0.9702695253592681,0.8854864666677389
31726749.3109902,25048942.94517911,18641816.74956223,16868123.713046607,5324690.537968394,8373040.798375441,28088509.83829026,0.692791173338275,0.7574521015098348,0.8194920445728713,0.8366666423000102,0.9484412375036664,0.9189241855808835,0.7280200985763027
375919997.14802027,16008279.859208865,37354161.53282476,12447367.935793884,4489951.601998429,7411067.6183703765,16861824.10553088,-2.6400180841255554,0.8449924754592959,0.6383011690562166,0.8794726411741969,0.956523980761557,0.9282389328628257,0.836727641144057
18278346.322043415,15235312.196086358,10569689.603256797,10391876.710108109,1132946.371980191,4032725.6323648924,10247966.529698793,0.7750197271652984,0.8124751203305697,0.8699022543493979,0.8720908764768753,0.9860550522796586,0.9503629214015505,0.8738622047514213
4767030.033771648,4315364.369306301,4183190.766584928,20758756.731122926,1133507.2742527644,5267279.631942154,4756960.125752173,0.9413246855753161,0.9468840432234932,0.9485109110307814,0.744489426406977,0.9860481483757664,0.935167329264252,0.9414486317252426
27939001.824604046,21119404.209536124,18249014.96836966,23506126.668100223,1089153.8517612405,8048934.611237312,11712706.085290398,0.6561108897664253,0.7400503723119851,0.7753807541332673,0.7106732360849026,0.9865940755027331,0.900929139159543,0.8558333579923815
13950035.005307583,78879610.41740097,7836815.4444160275,9584693.548311582,1167146.2116712818,3879789.275956876,5188745.510216501,0.8282950423276106,0.029104933229107566,0.9035400223972333,0.8820261454978782,0.9856341012193691,0.9522453489792317,0.9361339718598878
2795084.9165771557,4305945.817616217,13905485.929185774,2227956.221758991,1290054.0517758324,2133787.7835607734,6747137.94201088,0.9678942801660523,0.9505397888913372,0.8402747505989707,0.9744085992400938,0.9851818047776222,0.9754902642285389,0.9224990556950685
8244734.693809072,6853053.430945847,4246083.645076565,4160086.468635461,1461854.0254980074,3208422.0302917254,7326933.251301473,0.9052969229611754,0.9212824583052526,0.9512273952423325,0.9522152011000199,0.9832084257968653,0.963146486819529,0.9158392416583929
14205072.21107591,11186193.934278607,7737000.276258214,38167257.03625698,1169826.2669367515,2863921.7905095653,14802913.8505556,0.8368335552437193,0.8715098756634713,0.9111290101594072,0.5615921169447189,0.9865628002362599,0.9671035859815531,0.8299664521842144
12936749.313006377,8881429.99750335,7012234.287872702,11640866.305143178,1098891.7723090225,3595356.59789505,8407542.584789198,0.8514021357483385,0.8979835276082244,0.9194540287054536,0.8662872852267232,0.9873775887235697,0.9587019661010834,0.9034268314646476
