MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
35290739.15286648,8291520.243336069,9857710.565684736,10442333.997027276,10799502.751359029,10939989.034500357,26830553.110545374,0.6522111293406094,0.91828738839988,0.9028526432932996,0.8970912019682282,0.8935713176958759,0.8921868308041389,0.7355859358722037
28582991.86068877,8130232.876981927,8108779.191954494,8117167.661134183,8125820.549235283,13149031.25438522,21445084.026875164,0.6778239077817273,0.9083592553957561,0.908601072782806,0.9085065213015202,0.9084089893955392,0.851789360377627,0.7582795600003838
32497094.9083611,16308171.24126351,16349534.021568105,16354874.91853824,16351949.02761079,25974589.239841796,25792126.55896936,0.6035639512386602,0.8010546177238009,0.800550028090913,0.8004848738333508,0.8005205671358339,0.6831327983169249,0.685358682952319
29406629.03521397,1127742.28066661,1064707.8907977748,1042663.19120815,1032008.2944919931,7201000.431813996,20630001.78569287,0.6766320751939331,0.9875988614479229,0.988292014676023,0.9885344276622491,0.9886515934834659,0.9208147059843257,0.7731436385246182
56513571.570733696,26500474.345680863,26612720.448615674,26816714.986747406,26962961.370659515,36044766.00492753,41920182.94940691,0.428656329294852,0.7320842079651922,0.7309494168222744,0.728887062860552,0.7274085340135985,0.6355928612087883,0.5761932835377767
29360053.471386768,8089071.695328185,8080356.155863846,8094902.233106995,8099257.603013261,15244313.155267265,20942327.87776776,0.6400754299810836,0.9008361597627681,0.9009430034644406,0.9007646832647752,0.9007112908333782,0.8131201340286891,0.7432682347139916
28069654.355010387,1312368.201207687,771869.0339867015,547834.5275479342,453369.96637355984,9065903.587547643,19244457.91626634,0.6705175571159194,0.9845953827778392,0.990939778178668,0.9935695019201218,0.9946783297663097,0.893584152366181,0.7741079770332294
36996201.71662389,4272958.838638339,4182842.192388084,4191976.5995083293,4207355.103708924,11294360.211091006,18084716.412437834,0.5897702705057705,0.9526196023596948,0.9536188543287842,0.9535175681105198,0.953347044669585,0.8747632967920507,0.7994689190344473
42674598.201986305,17116722.32521028,17124462.21211128,17074616.258468088,16982547.931246508,26734033.253585003,34254448.975500435,0.5594158336694994,0.8232823001573704,0.8232023914584852,0.8237170146501761,0.8246675531181042,0.7239905646461509,0.646347745945993
42422093.59451924,2566410.12291805,2411353.832077063,2350102.948407234,2335798.0818576566,4669291.314221247,22665950.471080683,0.5656216257443893,0.9737214040513477,0.9753090932440921,0.975936267836759,0.9760827416231577,0.9521890836085631,0.7679134176947309
47479371.27643597,30465766.075740732,31332109.562091056,31689429.45945859,31878323.353851337,29189270.66067291,36264507.09753258,0.4896932904408491,0.6725549555028336,0.6632435244121939,0.6594030619927571,0.6573728366735938,0.6862746859356141,0.6102302791041618
24536140.5754032,5489433.013464577,5027759.411455061,4843032.45742049,4716018.512619665,13466158.150457334,13829117.509998681,0.6900750558786057,0.9306609686748508,0.9364925363929034,0.9388258899507271,0.9404302494311458,0.8299040429979374,0.8253193708944135
29830175.215927016,142290.31138667595,134938.4723836093,155287.85997420794,166645.61288337875,6067776.618988305,16254718.33476943,0.6696282948895973,0.9984241228067474,0.9985055450434444,0.9982801738604863,0.9981543857895928,0.9327988624493937,0.8199776242185838
22475114.616591074,4135382.5997180725,4082779.9302148423,4055309.1312356065,4041114.5072111627,7686153.553164391,13706005.88481426,0.6756241542584165,0.9403153998930734,0.9410745967069477,0.9414710736016866,0.9416759398838597,0.8890683050191477,0.8021857807415231
58058695.582734995,31842189.08856551,31863849.932004057,31879480.505285945,31892706.053979855,40005321.5908595,49960646.08158502,0.4633286578631596,0.7056635499090127,0.7054633257427048,0.7053188429799184,0.7051965913017363,0.6302068206098835,0.538183785951244
