MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
8213035.165191963,8564325.827560075,9187735.625006529,10306816.256078828,17370178.009691015,10952938.15922015,30237046.289443538,0.9190608558121979,0.9155988999090081,0.9094552204447516,0.8984267240686472,0.8288175669266954,0.8920592176804008,0.7020150772266521
14245833.326907933,13119365.092892265,11667426.48291523,12883974.993958466,17346979.83582919,11068576.855527252,30334775.878702775,0.8596078630457139,0.8707091639633561,0.8850179628593877,0.8730289242924887,0.8290461840336881,0.8909196027967634,0.7010519559009342
14245833.48611414,13119261.62550131,11667280.834494522,12884071.529501492,17346959.744157445,11068576.855527252,30334775.878702775,0.8596078614767428,0.8707101836304958,0.8850193982189457,0.8730279729384425,0.8290463820363367,0.8909196027967634,0.7010519559009342
14245833.48611414,13119260.61289202,11667279.409397075,12884072.477709068,17346959.581535902,11068576.855527252,30334775.878702775,0.8596078614767428,0.8707101936097212,0.885019412263226,0.8730279635938935,0.8290463836389659,0.8909196027967634,0.7010519559009342
7081041.814927053,6256003.4549422385,4616418.530307712,3247559.71069017,4099473.7245602985,4113149.188294098,18352945.28032472,0.920185318881716,0.9294848224482287,0.9479655702458462,0.9633948012882914,0.9537923660627422,0.9536382216860269,0.7931329155488789
6926367.266695049,6086738.216894543,4520995.6134838415,3375444.9800256696,4127431.744664105,5146665.061629376,18329121.864916194,0.921928748742309,0.9313927127491598,0.9490411393325332,0.9619533295022864,0.9534772344030789,0.9419888426798121,0.7934014435923049
6926367.266695049,6086752.021557849,4520904.660379731,3375239.8416058677,4127011.2840314046,5146665.061629376,18329121.864916194,0.921928748742309,0.931392557148497,0.9490421645196725,0.9619556417407944,0.9534819736677519,0.9419888426798121,0.7934014435923049
6926367.266695049,6086751.875934862,4520906.441871722,3375243.7081462066,4127019.0031555863,5146665.061629376,18329121.864916194,0.921928748742309,0.9313925587899013,0.9490421444394048,0.9619555981586928,0.9534818866608606,0.9419888426798121,0.7934014435923049
4340058.198184551,3649874.4109063656,2377029.768738846,722379.21273544,2250099.512941014,8595376.449737178,17814691.794413846,0.9470550974376524,0.9554747341565426,0.9710023221471266,0.9911876073350027,0.9725507599142148,0.8951439478833731,0.7826763886189279
4340124.848749743,3648974.151468386,2373162.909149701,716681.1070321101,2250075.183345659,8674305.47474199,17814691.794413846,0.9470542843592283,0.9554857165319045,0.9710494944417873,0.9912571192257369,0.9725510567139343,0.8941810830213377,0.7826763886189279
4340124.848749743,3648987.2662728527,2373191.838129214,716700.5398148056,2250108.312653602,8674305.47474199,17814691.794413846,0.9470542843592283,0.9554855565427953,0.9710491415336161,0.991256882162836,0.972550652565441,0.8941810830213377,0.7826763886189279
4340124.848749743,3648987.1444795006,2373191.5407839506,716700.249951401,2250108.2040714407,8674305.47474199,17814691.794413846,0.9470542843592283,0.9554855580285674,0.9710491451609675,0.9912568856989153,0.9725506538900482,0.8941810830213377,0.7826763886189279
