MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
924862.8554579116,717175.0162197304,649661.6092023231,604341.2673488705,577882.571930007,127032.15501451465,238939.95702919713,0.15927262158630917,0.34806694020414264,0.4094386012613038,0.4506361171637029,0.4746878449463414,0.8845240566973395,0.7827965925045428
936486.575377106,725705.5653900744,656158.9972359787,607732.9734233816,577770.0284984781,152882.59261458038,239283.10801503074,0.1487063203045469,0.3403124215767711,0.40353228555640175,0.4475529571691741,0.4747901502163483,0.8610252530573235,0.7824846582247549
936486.575377106,725704.9252710289,656158.5891507434,607732.4271824763,577769.447563453,152882.59261458038,239283.10801503074,0.1487063203045469,0.3403130034637004,0.4035326565178129,0.44755345371812905,0.4747906783032725,0.8610252530573235,0.7824846582247549
936486.575377106,725704.9227524484,656158.5877026111,607732.4246231269,577769.4435595648,152882.59261458038,239283.10801503074,0.1487063203045469,0.3403130057531638,0.40353265783420744,0.44755345604465246,0.47479068194292395,0.8610252530573235,0.7824846582247549
716465.4082035078,527736.3657042843,445972.2266021679,393934.3255215614,369531.67663984763,35276.15839382598,74650.93324748258,0.17410743980039567,0.3916614351629042,0.4859135698819923,0.5458993205669274,0.5740290333622811,0.9593360454862208,0.9139474848679076
702650.6608410847,523822.4526292892,444602.8499660958,393747.4508776808,369459.4640003103,27273.55658580319,74651.09264833223,0.1900321403330717,0.39617312777624547,0.4874920940687759,0.5461147369377719,0.5741122751783735,0.9685609001963154,0.9139473011214568
702650.6608410847,523823.5879896217,444603.915044464,393748.2948513875,369460.4955289599,27273.55658580319,74651.09264833223,0.1900321403330717,0.39617181901012644,0.4874908663189219,0.5461137640623234,0.5741110861023517,0.9685609001963154,0.9139473011214568
702650.6608410847,523823.5676039226,444603.8960451685,393748.2796693397,369460.47672160045,27273.55658580319,74651.09264833223,0.1900321403330717,0.3961718425093729,0.48749088822001674,0.5461137815631547,0.5741111077821957,0.9685609001963154,0.9139473011214568
696592.6785800032,514758.55620945664,441765.64685895236,392129.72830489906,364712.64073713054,72564.5403806345,89402.97242268747,0.2513783636503294,0.44679379424419396,0.5252385912111805,0.5785818486301382,0.6080467362036985,0.9220155671583428,0.9039194617347532
689348.3411631774,508660.0230387811,438243.8022115014,390189.1739213991,364778.94053792884,72701.73833488551,89402.97242268747,0.2591637853149794,0.45334783080235963,0.5290234847135336,0.5806673442758328,0.6079754844278911,0.9218681218001392,0.9039194617347532
689348.3411631774,508659.8855554011,438243.5343340265,390188.7478729786,364778.26973972423,72701.73833488551,89402.97242268747,0.2591637853149794,0.4533479785544622,0.5290237725989502,0.5806678021460854,0.6079762053284476,0.9218681218001392,0.9039194617347532
689348.3411631774,508659.8862509817,438243.5355341064,390188.7486325523,364778.26901023596,72701.73833488551,89402.97242268747,0.2591637853149794,0.45334797780692826,0.5290237713092356,0.5806678013297786,0.6079762061124219,0.9218681218001392,0.9039194617347532
