MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
405948.75858640426,186501.25312536367,172196.7533139701,170904.99034483283,172529.11059654053,127032.15501451465,238939.95702919713,0.6309807085855321,0.8304649076502018,0.8434681162394339,0.844642366549267,0.8431659937515177,0.8845240566973395,0.7827965925045428
413628.0261389522,190982.05246896108,174937.3006646962,171736.52717295304,171750.97425584705,152882.59261458038,239283.10801503074,0.6240000298400392,0.8263917300292071,0.8409768785645747,0.8438864752585374,0.843873342437757,0.8610252530573235,0.7824846582247549
413628.0261389522,190980.81136012622,174935.55979681812,171734.1245090026,171747.96081788625,152882.59261458038,239283.10801503074,0.6240000298400392,0.8263928582334277,0.8409784610643786,0.8438886593503219,0.8438760817409757,0.8610252530573235,0.7824846582247549
413628.0261389522,190980.80727623883,174935.5537947411,171734.11575559565,171747.94949798766,152882.59261458038,239283.10801503074,0.6240000298400392,0.8263928619458007,0.8409784665204421,0.8438886673074246,0.8438760920310945,0.8610252530573235,0.7824846582247549
236484.73395099028,66032.97546054824,43000.31500072293,39675.64106420309,42846.812686158024,35276.15839382598,74650.93324748258,0.7273964937670393,0.9238816800695852,0.9504321634531041,0.9542646212910146,0.9506091104740223,0.9593360454862208,0.9139474848679076
222824.31873726557,65229.75243176267,42881.13497163188,39677.05860874734,42856.605477718804,27273.55658580319,74651.09264833223,0.7431432907024862,0.9248075809100994,0.9505695460792905,0.9542629872421415,0.950597822010405,0.9685609001963154,0.9139473011214568
222824.31873726557,65230.5222262516,42881.551724899764,39677.1586638603,42856.239304395385,27273.55658580319,74651.09264833223,0.7431432907024862,0.9248066935434045,0.9505690656744873,0.954262871905417,0.9505982441100905,0.9685609001963154,0.9139473011214568
222824.31873726557,65230.508416967794,42881.54417768631,39677.15659151947,42856.24514472806,27273.55658580319,74651.09264833223,0.7431432907024862,0.9248067094618071,0.9505690743744013,0.9542628742942705,0.9505982373777525,0.9685609001963154,0.9139473011214568
206368.13003206276,58789.153622864105,44979.939520979,43872.03287878484,46856.56420808332,72564.5403806345,89402.97242268747,0.77821810084201,0.9368198464639675,0.951660479699921,0.9528511366058947,0.9496436887010002,0.9220155671583428,0.9039194617347532
200409.89931839917,55633.505035459595,43317.401475857674,43102.39812773619,46815.78338568287,72701.73833488551,89402.97242268747,0.7846213556618917,0.9402111924856671,0.9534471937870822,0.9536782558743546,0.9496875154694058,0.9218681218001392,0.9039194617347532
200409.89931839917,55633.398254224296,43317.29555586326,43102.33293315779,46815.770988506396,72701.73833488551,89402.97242268747,0.7846213556618917,0.9402113072424619,0.9534473076183095,0.9536783259383582,0.9496875287925354,0.9218681218001392,0.9039194617347532
200409.89931839917,55633.39849693866,43317.294665184265,43102.33075017269,46815.76703267171,72701.73833488551,89402.97242268747,0.7846213556618917,0.940211306981619,0.953447308575514,0.9536783282843919,0.9496875330438339,0.9218681218001392,0.9039194617347532
