MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1484350.0534905335,1202889.233709507,1076104.633134059,1014739.9306216068,362393.6989572175,127032.15501451465,238939.95702919713,-0.34931760071762175,-0.09346148567934276,0.02178942339976464,0.07757173227504821,0.6705735313295791,0.8845240566973395,0.7827965925045428
1610911.4767692294,1503769.1079662568,1201856.9242881443,1117518.1574954228,362493.8479205478,152882.59261458038,239283.10801503074,-0.4643656351083225,-0.3669700890452714,-0.09252308623080596,-0.015856681167774056,0.6704824929935764,0.8610252530573235,0.7824846582247549
1610909.496821958,1503772.7971910331,1201869.592243395,1117445.890624804,362272.2949914519,152882.59261458038,239283.10801503074,-0.46436383527835967,-0.3669734426584652,-0.09253460177253703,-0.015790988469312817,0.6706838910842874,0.8610252530573235,0.7824846582247549
1610921.6844605622,1503782.3658782043,1201879.358412472,1117528.93387399,362412.83994809753,152882.59261458038,239283.10801503074,-0.46437491419821475,-0.36698214087489056,-0.09254347950578912,-0.01586647721099088,0.6705561316091904,0.8610252530573235,0.7824846582247549
1293113.1088454535,1233974.8961324536,1210013.3264050689,1045089.6789546034,123418.67014553306,35276.15839382598,74650.93324748258,-0.49061278306501266,-0.4224422763749047,-0.39482100960897304,-0.20470825347206767,0.8577313568864277,0.9593360454862208,0.9139474848679076
1311484.0809123705,1255371.4146066399,1202569.2504888563,984764.3869122638,123725.86301127706,27273.55658580319,74651.09264833223,-0.5117895893420186,-0.44710672663261275,-0.3862399855338865,-0.13516936252328793,0.8573772458582337,0.9685609001963154,0.9139473011214568
1311471.1944072978,1255372.6310255455,1202569.5947356669,984749.1986931147,123702.53180917005,27273.55658580319,74651.09264833223,-0.5117747346560215,-0.44710812883753803,-0.38624038235818037,-0.13515185457795753,0.8574041404801094,0.9685609001963154,0.9139473011214568
1311458.3909434846,1255381.1122997648,1202565.3540438756,984763.4588190486,123656.29809732894,27273.55658580319,74651.09264833223,-0.511759975694337,-0.4471179054732255,-0.3862354939773036,-0.13516829268059527,0.8574574355564701,0.9685609001963154,0.9139473011214568
1051451.310117908,684621.7540156106,576781.3667755155,667868.9069034731,50509.63486864813,72564.5403806345,89402.97242268747,-0.12998488862537028,0.26424340431409643,0.3801384598361164,0.2822475324139926,0.9457177678297275,0.9220155671583428,0.9039194617347532
1451897.9808325693,1217585.2623759275,1043805.0155811402,806042.5900880827,50459.46524495754,72701.73833488551,89402.97242268747,-0.5603411802135791,-0.3085274932449975,-0.12176748740347487,0.1337535674515925,0.9457716846550649,0.9218681218001392,0.9039194617347532
1451903.1507876536,1217664.6125115159,1043815.3444920606,806700.6144267415,50464.072796481196,72701.73833488551,89402.97242268747,-0.5603467363159531,-0.3086127700935424,-0.12177858778743333,0.1330463948494216,0.9457667329625374,0.9218681218001392,0.9039194617347532
1451934.5767232948,1217607.7961944921,1043782.067950782,806329.6752078843,50658.21559761059,72701.73833488551,89402.97242268747,-0.560380509475056,-0.30855171012904714,-0.12174282579976103,0.13344503975848554,0.9455580895100061,0.9218681218001392,0.9039194617347532
