MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
896453.0789164234,668918.1310715149,465320.14674573275,455685.6354202938,886390.8163786889,67742.46534195285,194183.1039620186,0.18509793915863026,0.39193385982541185,0.5770103807413458,0.5857684332473283,0.194244830023948,0.9384201182282078,0.8234818806239208
1389689.1418066688,1336124.2269331203,1251128.433850672,1041069.6923299021,761797.6017735067,39881.23219529022,123548.17552523513,-0.2632680641311165,-0.2145759902838058,-0.13731232911209723,0.05363720900531166,0.30750370518040215,0.9637467938153347,0.8876910959239488
1687626.665055783,1453544.044778012,1496186.8976967717,1341074.6743879262,944151.0147065431,78411.38956728618,294603.96404742973,-0.5341019843973573,-0.3213140380364885,-0.36007763820801775,-0.21907609177030496,0.1417391208474359,0.9287217541501978,0.7321963825206859
1533332.4908234444,1525977.9528298092,1543003.0263892233,1415879.4874912393,887115.2332936234,77557.95519960717,176907.32024671466,-0.39384406848977815,-0.3871585784083633,-0.40263486808357096,-0.2870758541587908,0.19358631386646874,0.9294975509446659,0.8391860731615466
1409098.403912638,1375587.7907279579,1307318.1688717916,1130725.2904373463,515596.8890651375,36407.930551273515,108173.91454435907,-0.6243127373010933,-0.5856839831420466,-0.5069874094721107,-0.30342315806052755,0.4056549976241086,0.9580314155711203,0.8753044735908905
1278791.8443116983,1264838.557222922,1149728.7293976503,892336.6703925584,569629.3206410583,74697.2439530796,49723.43538029269,-0.47410420401060116,-0.45801980431034917,-0.325329029126761,-0.02862498151643811,0.34337008793120183,0.9138941010383852,0.9426822078526855
1442355.0115631637,1421609.3371165402,1486196.0070973295,1280493.7377861207,751689.7334074288,84355.15047337982,123397.19714777911,-0.6626486911678913,-0.6387344896089477,-0.7131856070173261,-0.4760660309776592,0.13350323506019057,0.9027611237154193,0.8577561094967939
1241111.9259195148,1212627.622463174,1257304.7914879792,1069385.104204849,643089.6510123208,40135.33098734755,54190.14582502223,-0.4306693585697543,-0.39783459217670925,-0.4493353919164871,-0.23271436616266694,0.2586900187628133,0.9537347220339442,0.9375332880547039
1239656.124904791,1231570.3781420693,1103011.3765992238,830399.4911919609,682364.1314064515,21882.986325509177,71113.44291677921,-0.33224684277317174,-0.32355716635429665,-0.18539600982495563,0.1075774336484604,0.26666965021632716,0.9764825592703402,0.9235750480304482
1063796.4636883526,1373324.0960854483,1277214.1308533133,1045390.212820915,628272.7043627083,23193.616385455978,76782.9699591016,-0.1432521097017294,-0.475898561187424,-0.37261008048122424,-0.12347108405050866,0.3248012009362149,0.9750740374034057,0.9174820603458747
1200647.4768365326,1106997.920397589,1040425.630020579,1078947.6196139804,752133.845106466,30171.69517964645,156265.81457346395,-0.2903246135470805,-0.18968031115840556,-0.11813569334936425,-0.15953491526430597,0.19168879146796158,0.9675747613901511,0.8320625906520129
1313611.3301536718,1303379.8878715935,1324319.229140662,1170943.806011402,695105.7160044579,41171.015057509016,88424.75209304098,-0.4117258101416674,-0.4007301748171037,-0.4232334890306393,-0.25840235633353803,0.25297638842251713,0.9557538951954553,0.9049707459736046
