MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
105231.7382143136,95680.75590567931,80103.91444049985,67667.38726388152,134280.95335332837,104452.50874558989,285778.2738546237,0.9027456187431852,0.9115725647823095,0.925968564547573,0.9374623094582797,0.8758985525226568,0.9034657767594241,0.7358858679710414
99485.677068071,77689.35432335455,62552.042104345484,55731.79632648748,133976.0992094278,118615.66635621201,285975.2254750797,0.9080560852519065,0.9282000828536007,0.9421898729942211,0.9484930928630606,0.8761802964303573,0.8903762929835451,0.7357038467642267
99485.677068071,77689.36708371401,62552.69310580513,55733.349893212624,133976.053305911,118615.66635621201,285975.2254750797,0.9080560852519065,0.9282000710605723,0.9421892713435667,0.9484916570683739,0.8761803388540425,0.8903762929835451,0.7357038467642267
99485.677068071,77689.36718590592,62552.699433208225,55733.36506221034,133976.05332581897,118615.66635621201,285975.2254750797,0.9080560852519065,0.9282000709661273,0.9421892654958284,0.9484916430493003,0.8761803388356437,0.8903762929835451,0.7357038467642267
90431.77315821953,90753.49450540854,92439.52269533878,97991.92165680809,142216.71844175976,106443.05237305819,222998.1643406608,0.9044412888183491,0.9041013278043898,0.9023197119494869,0.8964525253380285,0.8497204483760246,0.8875222663033021,0.7643591800087283
94009.7925020633,93861.38596748003,95341.71062635278,99722.10473534904,142182.97528706057,107652.3991445845,222998.1643406608,0.9006604172823844,0.900817237575523,0.8992529874055656,0.8946242512777113,0.8497561045647916,0.8862443568382676,0.7643591800087283
94009.7925020633,93861.11608602792,95341.05128536276,99721.05274815664,142184.16112622214,107652.3991445845,222998.1643406608,0.9006604172823844,0.9008175227576314,0.899253684127227,0.8946253629062548,0.8497548514956766,0.8862443568382676,0.7643591800087283
94009.7925020633,93861.12054322657,95341.06242470868,99721.07076534594,142184.14370643848,107652.3991445845,222998.1643406608,0.9006604172823844,0.9008175180477364,0.8992536723563471,0.8946253438675992,0.8497548699030574,0.8862443568382676,0.7643591800087283
234547.7525256958,234744.81631412404,224291.6503366308,197052.23355555796,214072.3715634004,217540.31197215387,257500.68031922885,0.7322007212449988,0.7319757199826055,0.7439108175451896,0.7750119305984005,0.7555788700223395,0.751619284265372,0.7059937870824113
234538.49585707003,234758.02847806565,224300.54673704345,196996.1046645195,214014.00451716306,217532.6613044379,257500.68031922885,0.7322112902193547,0.731960634747568,0.7439006599137974,0.7750760168084603,0.7556455116879155,0.7516280195581823,0.7059937870824113
234538.49585707003,234757.82281324454,224300.30159598813,196996.15771791205,214014.45515687906,217532.6613044379,257500.68031922885,0.7322112902193547,0.7319608695692201,0.7439009398081775,0.775075956233758,0.7556449971615999,0.7516280195581823,0.7059937870824113
234538.49585707003,234757.8254528052,224300.30388002764,196996.15309774797,214014.4481834896,217532.6613044379,257500.68031922885,0.7322112902193547,0.7319608665554524,0.7439009372003327,0.7750759615089167,0.7556450051235977,0.7516280195581823,0.7059937870824113
